"","x","y","estimate","p.value","change","elev","stream_dist","aspect","aspect.class","elev.raw","p.class"
"52",634020,4331430,0.00421883245989286,0.055849028457035,0.105470811497322,"LOW",558.032287597656,29.0546035766602,"Northeast",986,"NOT SIGNIFICANT"
"53",634020,4331460,0.00273666696618418,0.0706618924600461,0.0684166741546044,"LOW",540.832702636719,18.4349479675293,"North",984,"NOT SIGNIFICANT"
"54",634020,4331490,0.00255894575331791,0.111217825681155,0.0639736438329478,"LOW",524.78564453125,35.5376777648926,"Northeast",983,"NOT SIGNIFICANT"
"55",634020,4331520,0.00466270777590416,0.0527110980598679,0.116567694397604,"LOW",510,38.6598091125488,"Northeast",982,"NOT SIGNIFICANT"
"56",634020,4331550,0.0046724282879119,0.0938251014575271,0.116810707197797,"LOW",483.735473632812,29.7448806762695,"Northeast",980,"NOT SIGNIFICANT"
"57",634020,4331580,0.00317352572979734,0.148048291074664,0.0793381432449334,"LOW",457.930114746094,7.12501621246338,"North",977,"NOT SIGNIFICANT"
"58",634020,4331610,0.0034239848843414,0.0863977652669087,0.085599622108535,"LOW",432.666168212891,18.4349479675293,"North",975,"NOT SIGNIFICANT"
"59",634020,4331640,0.00363100533234758,0.130124758776338,0.0907751333086895,"LOW",408.044128417969,120.963752746582,"Southeast",975,"NOT SIGNIFICANT"
"60",634020,4331670,0.00112533731463487,0.439778437980555,0.0281334328658717,"LOW",384.187469482422,90,"East",976,"NOT SIGNIFICANT"
"61",634020,4331700,0.0021588204469541,0.319024640918418,0.0539705111738526,"LOW",361.247833251953,45,"Northeast",975,"NOT SIGNIFICANT"
"62",634020,4331730,0.00239097580204382,0.433934250556949,0.0597743950510955,"LOW",339.411254882812,51.3401908874512,"Northeast",974,"NOT SIGNIFICANT"
"63",634020,4331760,0.00193368532401136,0.436669234920235,0.0483421331002839,"LOW",318.904388427734,50.7105941772461,"Northeast",973,"NOT SIGNIFICANT"
"64",634020,4331790,0.000672032988304616,0.73616393547998,0.0168008247076154,"LOW",300,39.2894058227539,"Northeast",972,"NOT SIGNIFICANT"
"65",634020,4331820,0.00181133540524831,0.309539358316622,0.0452833851312076,"LOW",283.019439697266,34.6951522827148,"Northeast",970,"NOT SIGNIFICANT"
"66",634020,4331850,0.00103356146360667,0.631446177358659,0.0258390365901668,"LOW",268.328155517578,36.2538375854492,"Northeast",968,"NOT SIGNIFICANT"
"67",634020,4331880,0.00217104236843535,0.310485986085159,0.0542760592108837,"LOW",256.320098876953,40.6012954711914,"Northeast",966,"NOT SIGNIFICANT"
"68",634020,4331910,0.00167245507094561,0.589280777975949,0.0418113767736403,"LOW",241.867736816406,49.7636413574219,"Northeast",964,"NOT SIGNIFICANT"
"69",634020,4331940,0.0040786631933635,0.0718447740888871,0.101966579834088,"LOW",228.473190307617,49.0856170654297,"Northeast",963,"NOT SIGNIFICANT"
"70",634020,4331970,0.00507724767865071,0.00656938678768315,0.126931191966268,"LOW",218.403289794922,26.5650520324707,"Northeast",961,"SIGNIFICANT"
"71",634020,4332000,0.0047283140546244,0.104102850616905,0.11820785136561,"LOW",212.132034301758,9.24611282348633,"North",956,"NOT SIGNIFICANT"
"72",634020,4332030,0.00220015892772626,0.341206625769709,0.0550039731931566,"LOW",210,358.667785644531,"North",950,"NOT SIGNIFICANT"
"73",634020,4332060,-0.000167682475449117,0.939434449105841,-0.00419206188622793,"LOW",212.132034301758,350.837646484375,"North",945,"NOT SIGNIFICANT"
"74",634020,4332090,-0.0070809160693935,0.133928115106304,-0.177022901734838,"LOW",218.403289794922,341.565063476562,"North",943,"NOT SIGNIFICANT"
"75",634020,4332120,-0.012163958928951,0.0882955256533343,-0.304098973223776,"LOW",228.473190307617,329.036254882812,"Northwest",941,"NOT SIGNIFICANT"
"76",634050,4331250,-0.000343966491356494,0.852344339327715,-0.00859916228391235,NA,660.681457519531,0,"North",0,"NOT SIGNIFICANT"
"77",634050,4331280,0.0027667528478324,0.321466089547786,0.0691688211958101,"LOW",637.808776855469,319.763641357422,"Northwest",996,"NOT SIGNIFICANT"
"78",634050,4331310,0.0048378590303121,0.00439127246176402,0.120946475757803,"LOW",615.548522949219,336.801422119141,"Northwest",993,"SIGNIFICANT"
"79",634050,4331340,0.00537301157316548,0.0818239739760768,0.134325289329137,"LOW",593.9697265625,347.00537109375,"North",989,"NOT SIGNIFICANT"
"80",634050,4331370,0.00647548584308493,0.0372649144956213,0.161887146077123,"LOW",573.149169921875,9.46232223510742,"North",986,"SIGNIFICANT"
"81",634050,4331400,0.00327791209835881,0.220111057659937,0.0819478024589703,"LOW",553.172668457031,54.4623222351074,"Northeast",986,"NOT SIGNIFICANT"
"82",634050,4331430,0.00578340913526598,0.0379499947990186,0.144585228381649,"LOW",534.134826660156,32.47119140625,"Northeast",985,"SIGNIFICANT"
"83",634050,4331460,0.00646056897920047,0.0120710402286389,0.161514224480012,"LOW",516.139526367188,21.8014087677002,"North",983,"SIGNIFICANT"
"84",634050,4331490,0.00646024619964644,0.00587449898809043,0.161506154991161,"LOW",499.299499511719,6.34019184112549,"North",982,"SIGNIFICANT"
"85",634050,4331520,0.00594916615480327,0.0272582684024716,0.148729153870082,"LOW",483.735473632812,3.81407475471497,"North",980,"SIGNIFICANT"
"86",634050,4331550,0.00146300540576648,0.583275488611093,0.0365751351441619,"LOW",469.574279785156,6.34019184112549,"North",978,"NOT SIGNIFICANT"
"87",634050,4331580,0.00415474167298576,0.191881087966217,0.103868541824644,"LOW",442.944702148438,6.34019184112549,"North",976,"NOT SIGNIFICANT"
"88",634050,4331610,0.00486067562275243,0.0670875495908121,0.121516890568811,"LOW",416.773315429688,18.4349479675293,"North",974,"NOT SIGNIFICANT"
"89",634050,4331640,0.00410533261036827,0.0743310176484405,0.102633315259207,"LOW",391.152130126953,90,"East",974,"NOT SIGNIFICANT"
"90",634050,4331670,0.00477858317656166,0.0196976810937888,0.119464579414042,"LOW",366.196655273438,78.690071105957,"East",974,"SIGNIFICANT"
"91",634050,4331700,0.00662447652417476,0.0298094316205994,0.165611913104369,"LOW",342.052612304688,56.3099327087402,"Northeast",974,"SIGNIFICANT"
"92",634050,4331730,0.00321188144622637,0.0920904209242555,0.0802970361556593,"LOW",318.904388427734,49.7636413574219,"Northeast",972,"NOT SIGNIFICANT"
"93",634050,4331760,0.00257644213936445,0.287700082095078,0.0644110534841113,"LOW",296.98486328125,59.0362434387207,"Northeast",971,"NOT SIGNIFICANT"
"94",634050,4331790,0.00322146839428071,0.19948752540203,0.0805367098570178,"LOW",276.586334228516,60.2551193237305,"Northeast",970,"NOT SIGNIFICANT"
"95",634050,4331820,0.00301125791370146,0.142787910343234,0.0752814478425364,"LOW",258.069763183594,39.2894058227539,"Northeast",969,"NOT SIGNIFICANT"
"96",634050,4331850,0.0018368382325674,0.389951509244872,0.0459209558141849,"LOW",241.867736816406,15.9453954696655,"North",967,"NOT SIGNIFICANT"
"97",634050,4331880,0.00435642400770148,0.0713940272272335,0.108910600192537,"LOW",228.473190307617,354.805572509766,"North",965,"NOT SIGNIFICANT"
"98",634050,4331910,0.00594060077425331,0.0496593131533416,0.148515019356333,"LOW",216.333084106445,335.556030273438,"Northwest",964,"SIGNIFICANT"
"99",634050,4331940,0.00289335970773679,0.238354523517782,0.0723339926934196,"LOW",201.246124267578,345.963745117188,"North",962,"NOT SIGNIFICANT"
"100",634050,4331970,0.00340070365985043,0.281380840748065,0.0850175914962608,"LOW",189.736663818359,355.601287841797,"North",960,"NOT SIGNIFICANT"
"101",634050,4332000,0.00506734031919755,0.0172466255256989,0.126683507979939,"LOW",182.482879638672,351.869903564453,"North",956,"SIGNIFICANT"
"102",634050,4332030,0.00247302846322728,0.153254271609872,0.0618257115806819,"LOW",180,343.442932128906,"North",952,"NOT SIGNIFICANT"
"103",634050,4332060,0.000955562519415111,0.375163613412946,0.0238890629853778,"LOW",182.482879638672,334.983093261719,"Northwest",947,"NOT SIGNIFICANT"
"104",634050,4332090,-0.00557158241608632,0.161597044231858,-0.139289560402158,"LOW",189.736663818359,325.619659423828,"Northwest",944,"NOT SIGNIFICANT"
"105",634050,4332120,-0.0123081233871598,0.0336947176347977,-0.307703084678994,"LOW",201.246124267578,315,"Northwest",942,"SIGNIFICANT"
"106",634080,4331250,0.00305820054267615,0.182072100391556,0.0764550135669039,NA,642.028015136719,0,"North",0,"NOT SIGNIFICANT"
"107",634080,4331280,0.0047741471482373,0.0187143841377904,0.119353678705933,"LOW",618.4658203125,329.036254882812,"Northwest",998,"SIGNIFICANT"
"108",634080,4331310,0.00267472722929677,0.199792236482595,0.0668681807324193,"LOW",595.482971191406,338.198577880859,"North",994,"NOT SIGNIFICANT"
"109",634080,4331340,0.00409310192671274,0.0206880511277857,0.102327548167818,"LOW",573.149169921875,340.463348388672,"North",990,"SIGNIFICANT"
"110",634080,4331370,0.00471779285112633,0.101351247346135,0.117944821278158,"LOW",551.543273925781,339.775146484375,"North",986,"NOT SIGNIFICANT"
"111",634080,4331400,0.00701140763561428,0.0243718651975119,0.175285190890357,"LOW",530.754150390625,345.963745117188,"North",985,"SIGNIFICANT"
"112",634080,4331430,0.00512186636405943,0.0745862899927555,0.128046659101486,"LOW",510.881591796875,353.659820556641,"North",984,"NOT SIGNIFICANT"
"113",634080,4331460,0.00652692667356629,0.0359742331015686,0.163173166839157,"LOW",492.036590576172,315,"Northwest",983,"SIGNIFICANT"
"114",634080,4331490,0.0066043761875345,0.00894935807620903,0.165109404688363,"LOW",474.341644287109,294.443969726562,"Northwest",983,"SIGNIFICANT"
"115",634080,4331520,0.00434236097306673,0.0641660441989456,0.108559024326668,"LOW",457.930114746094,318.814086914062,"Northwest",982,"NOT SIGNIFICANT"
"116",634080,4331550,0.00482897770142504,0.0126063982895186,0.120724442535626,"LOW",442.944702148438,329.036254882812,"Northwest",979,"SIGNIFICANT"
"117",634080,4331580,0.00632689175512512,0.0531191739892135,0.158172293878128,"LOW",429.534637451172,338.198577880859,"North",977,"NOT SIGNIFICANT"
"118",634080,4331610,0.00522801331028094,0.0195155660432098,0.130700332757024,"LOW",402.492248535156,347.00537109375,"North",974,"SIGNIFICANT"
"119",634080,4331640,0.00325632175489864,0.204359141669719,0.081408043872466,"LOW",375.89892578125,30.9637565612793,"Northeast",974,"NOT SIGNIFICANT"
"120",634080,4331670,0.00496630680298754,0.0367861693558065,0.124157670074688,"LOW",349.857116699219,54.4623222351074,"Northeast",973,"SIGNIFICANT"
"121",634080,4331700,0.00797842789104354,0.00299964606035015,0.199460697276089,"LOW",324.499603271484,45,"Northeast",972,"SIGNIFICANT"
"122",634080,4331730,0.00267865027877117,0.0747384507196532,0.0669662569692791,"LOW",300,24.4439544677734,"Northeast",971,"NOT SIGNIFICANT"
"123",634080,4331760,0.00132243858062844,0.506759690925063,0.0330609645157109,"LOW",276.586334228516,18.4349479675293,"North",969,"NOT SIGNIFICANT"
"124",634080,4331790,0.00352442916710401,0.197228215152079,0.0881107291776001,"LOW",254.558441162109,0,"North",968,"NOT SIGNIFICANT"
"125",634080,4331820,0.00610429112296245,0.155333442011576,0.152607278074061,"LOW",234.307495117188,326.309936523438,"Northwest",968,"NOT SIGNIFICANT"
"126",634080,4331850,0.00493453796452017,0.105971823742277,0.123363449113004,"LOW",216.333084106445,321.340179443359,"Northwest",967,"NOT SIGNIFICANT"
"127",634080,4331880,0.00712140288868871,0.044303708333368,0.178035072217218,"LOW",201.246124267578,296.565063476562,"Northwest",966,"SIGNIFICANT"
"128",634080,4331910,0.0073086754361984,0.0341985605604968,0.18271688590496,"LOW",189.736663818359,300.963745117188,"Northwest",966,"SIGNIFICANT"
"129",634080,4331940,0.0076920702361246,0.0149061574075692,0.192301755903115,"LOW",174.928558349609,328.240509033203,"Northwest",964,"SIGNIFICANT"
"130",634080,4331970,0.00265951294333548,0.234460962272401,0.066487823583387,"LOW",161.554946899414,348.690063476562,"North",961,"NOT SIGNIFICANT"
"131",634080,4332000,0.00699143878623749,0.0703641300606751,0.174785969655937,"LOW",152.970581054688,356.423675537109,"North",957,"NOT SIGNIFICANT"
"132",634080,4332030,0.00656130611167863,0.0265044891805684,0.164032652791966,"LOW",150,350.837646484375,"North",953,"SIGNIFICANT"
"133",634080,4332060,0.00509095159165733,0.0575314909305698,0.127273789791433,"LOW",152.970581054688,337.833648681641,"North",949,"NOT SIGNIFICANT"
"134",634080,4332090,-0.00175809113349781,0.389141552081399,-0.0439522783374452,"LOW",161.554946899414,321.709838867188,"Northwest",946,"NOT SIGNIFICANT"
"135",634080,4332120,-0.00127020452745391,0.554669834753098,-0.0317551131863477,"LOW",174.928558349609,324.462310791016,"Northwest",944,"NOT SIGNIFICANT"
"136",634110,4331250,0.00253187416891013,0.260006491885086,0.0632968542227533,NA,624.259582519531,0,"North",0,"NOT SIGNIFICANT"
"137",634110,4331280,0.00481155853545468,0.045325689163687,0.120288963386367,"LOW",600,318.576324462891,"Northwest",999,"SIGNIFICANT"
"138",634110,4331310,0.00166627123478281,0.541921592004847,0.0416567808695703,"LOW",576.281188964844,332.650115966797,"Northwest",996,"NOT SIGNIFICANT"
"139",634110,4331340,0.0054345998393878,0.0323251085377995,0.135864995984695,"LOW",553.172668457031,333.434936523438,"Northwest",992,"SIGNIFICANT"
"140",634110,4331370,0.00533646013596829,0.0309622849593868,0.133411503399207,"LOW",530.754150390625,323.972625732422,"Northwest",988,"SIGNIFICANT"
"141",634110,4331400,0.00543933181424605,0.0179690625122134,0.135983295356151,"LOW",509.116882324219,293.962493896484,"Northwest",986,"SIGNIFICANT"
"142",634110,4331430,0.0041680363323403,0.176684835038773,0.104200908308508,"LOW",488.364624023438,285.255126953125,"West",985,"NOT SIGNIFICANT"
"143",634110,4331460,0.00970329351559262,0.00121187433846804,0.242582337889816,"LOW",468.614990234375,274.763641357422,"West",984,"SIGNIFICANT"
"144",634110,4331490,0.00480891091972229,0.106521496458297,0.120222772993057,"LOW",450,274.763641357422,"West",985,"NOT SIGNIFICANT"
"145",634110,4331520,0.00650084051497125,0.00202881254455113,0.162521012874281,"LOW",432.666168212891,306.46923828125,"Northwest",984,"SIGNIFICANT"
"146",634110,4331550,0.00901248309679329,0.0137428354618006,0.225312077419832,"LOW",416.773315429688,317.602569580078,"Northwest",981,"SIGNIFICANT"
"147",634110,4331580,0.00711860298236031,0.0225332078106675,0.177965074559008,"LOW",402.492248535156,317.726318359375,"Northwest",978,"SIGNIFICANT"
"148",634110,4331610,0.00691106390836487,0.025566804378402,0.172776597709122,"LOW",390,318.179840087891,"Northwest",975,"SIGNIFICANT"
"149",634110,4331640,0.0072028982318702,0.0571626082651116,0.180072455796755,"LOW",362.491394042969,315,"Northwest",973,"NOT SIGNIFICANT"
"150",634110,4331670,0.00477373293967592,0.059961500498606,0.119343323491898,"LOW",335.410186767578,306.869903564453,"Northwest",972,"NOT SIGNIFICANT"
"151",634110,4331700,0.00487232492430586,0.0404240469982198,0.121808123107646,"LOW",308.868896484375,299.054595947266,"Northwest",972,"SIGNIFICANT"
"152",634110,4331730,0.00252318602683787,0.209265856641382,0.0630796506709469,"LOW",283.019439697266,303.690063476562,"Northwest",971,"NOT SIGNIFICANT"
"153",634110,4331760,0.00349476383338644,0.122253467390899,0.0873690958346611,"LOW",258.069763183594,290.556030273438,"West",970,"NOT SIGNIFICANT"
"154",634110,4331790,0.0040146979186821,0.126053003709591,0.100367447967053,"LOW",234.307495117188,273.012786865234,"West",970,"NOT SIGNIFICANT"
"155",634110,4331820,0.00556749914269586,0.0290336550250951,0.139187478567396,"LOW",212.132034301758,288.434936523438,"West",970,"SIGNIFICANT"
"156",634110,4331850,0.00326246892108896,0.10382529353746,0.081561723027224,"LOW",192.093734741211,305.537689208984,"Northwest",969,"NOT SIGNIFICANT"
"157",634110,4331880,0.0057239199653815,0.0547906124392068,0.143097999134538,"LOW",174.928558349609,294.443969726562,"Northwest",968,"NOT SIGNIFICANT"
"158",634110,4331910,0.00772942322099135,0.039960257765735,0.193235580524784,"LOW",161.554946899414,315,"Northwest",968,"SIGNIFICANT"
"159",634110,4331940,0.0052087066153152,0.0322600271776783,0.13021766538288,"LOW",150,347.00537109375,"North",966,"SIGNIFICANT"
"160",634110,4331970,0.00357529404402372,0.0475981831052268,0.0893823511005931,"LOW",134.164077758789,358.451843261719,"North",961,"SIGNIFICANT"
"161",634110,4332000,0.00427204217479408,0.0310162831493453,0.106801054369852,"LOW",123.693168640137,3.57633447647095,"North",956,"SIGNIFICANT"
"162",634110,4332030,0.0067105984775246,0.00805543868923227,0.167764961938115,"LOW",120,352.568603515625,"North",953,"SIGNIFICANT"
"163",634140,4331250,0.00260115456755995,0.28491287869868,0.0650288641889988,"LOW",607.453674316406,320.194427490234,"Northwest",1004,"NOT SIGNIFICANT"
"164",634140,4331280,0.00435092966903401,0.0309802940378893,0.10877324172585,"LOW",582.49462890625,328.392486572266,"Northwest",1001,"SIGNIFICANT"
"165",634140,4331310,0.00321779205192858,0.297348729483203,0.0804448012982144,"LOW",558.032287597656,341.565063476562,"North",998,"NOT SIGNIFICANT"
"166",634140,4331340,0.00487142568112597,0.0115626105017475,0.121785642028149,"LOW",534.134826660156,341.565063476562,"North",994,"SIGNIFICANT"
"167",634140,4331370,0.00476069118108036,0.0198483993487503,0.119017279527009,"LOW",510.881591796875,315,"Northwest",990,"SIGNIFICANT"
"168",634140,4331400,0.00799528205161589,0.0166656792708399,0.199882051290397,"LOW",488.364624023438,270,"West",989,"SIGNIFICANT"
"169",634140,4331430,0.00791310779477112,0.0179310566025963,0.197827694869278,"LOW",466.690490722656,270,"West",990,"SIGNIFICANT"
"170",634140,4331460,0.00780414010245536,0.0165621332005041,0.195103502561384,"LOW",445.982055664062,272.726318359375,"West",989,"SIGNIFICANT"
"171",634140,4331490,0.0057547478264877,0.0425345530089673,0.143868695662193,"LOW",426.380126953125,275.710601806641,"West",989,"SIGNIFICANT"
"172",634140,4331520,0.00624027957543195,0.0168832633857729,0.156006989385799,"LOW",408.044128417969,297.181121826172,"Northwest",988,"SIGNIFICANT"
"173",634140,4331550,0.00421676832116909,0.102074029211063,0.105419208029227,"LOW",391.152130126953,305.537689208984,"Northwest",984,"NOT SIGNIFICANT"
"174",634140,4331580,0.00565526435894036,0.0454748968666895,0.141381608973509,"LOW",375.89892578125,306.869903564453,"Northwest",982,"SIGNIFICANT"
"175",634140,4331610,0.00502912410532647,0.0235253011930364,0.125728102633162,"LOW",362.491394042969,310.601287841797,"Northwest",979,"SIGNIFICANT"
"176",634140,4331640,0.00652699059554017,0.0681332488698955,0.163174764888504,"LOW",349.857116699219,295.7099609375,"Northwest",976,"NOT SIGNIFICANT"
"177",634140,4331670,0.0064245724372002,0.0265228283725469,0.160614310930005,"LOW",323.109893798828,279.782409667969,"West",975,"SIGNIFICANT"
"178",634140,4331700,0.00526778733307698,0.0202053497376993,0.131694683326925,"LOW",295.465728759766,279.782409667969,"West",974,"SIGNIFICANT"
"179",634140,4331730,0.00238016737775292,0.290599781901575,0.0595041844438231,"LOW",268.328155517578,279.782409667969,"West",974,"NOT SIGNIFICANT"
"180",634140,4331760,0.00303494651553686,0.259367262395102,0.0758736628884216,"LOW",241.867736816406,279.782409667969,"West",973,"NOT SIGNIFICANT"
"181",634140,4331790,0.00409023447331131,0.0463747759773506,0.102255861832783,"LOW",216.333084106445,279.462310791016,"West",973,"SIGNIFICANT"
"182",634140,4331820,0.00435340138548457,0.0282498710844757,0.108835034637114,"LOW",192.093734741211,302.905242919922,"Northwest",973,"SIGNIFICANT"
"183",634140,4331850,0.00640997928191523,0.0389661226508077,0.160249482047881,"LOW",169.705627441406,323.746154785156,"Northwest",970,"SIGNIFICANT"
"184",634140,4331880,0.00589288031559418,0.0676868703102395,0.147322007889854,"LOW",150,338.198577880859,"North",969,"NOT SIGNIFICANT"
"185",634140,4331910,0.00718604931767247,0.0331115035380966,0.179651232941812,"LOW",134.164077758789,9.46232223510742,"North",968,"SIGNIFICANT"
"186",634140,4331940,0.00449531580023201,0.1009918993824,0.1123828950058,"LOW",123.693168640137,8.13010215759277,"North",966,"NOT SIGNIFICANT"
