"","x","y","estimate","p.value","change","elev","stream_dist","aspect","aspect.class","elev.raw","p.class"
"1",633930,4331790,0.00326310180145843,0.0768120035886333,0.0815775450364608,NA,375.89892578125,0,"North",0,"NOT SIGNIFICANT"
"2",633930,4331820,0.0036825476109545,0.0478895211514462,0.0920636902738624,NA,362.491394042969,0,"North",0,"SIGNIFICANT"
"3",633930,4331850,0.0014331673606684,0.384688212484676,0.0358291840167101,"LOW",349.857116699219,63.4349479675293,"Northeast",973,"NOT SIGNIFICANT"
"4",633930,4331880,0.000368281871007517,0.869263020546448,0.00920704677518793,NA,335.410186767578,0,"North",0,"NOT SIGNIFICANT"
"5",633930,4331910,0.000210047697233973,0.859352343773733,0.00525119243084931,NA,323.109893798828,0,"North",0,"NOT SIGNIFICANT"
"6",633930,4331940,-0.00025941123662196,0.826206092092739,-0.00648528091554901,NA,313.209197998047,0,"North",0,"NOT SIGNIFICANT"
"7",633930,4331970,0.0013383549335242,0.174732554610584,0.033458873338105,NA,305.941162109375,0,"North",0,"NOT SIGNIFICANT"
"8",633930,4332000,0.00161324086209673,0.610723734897876,0.0403310215524183,"LOW",301.496276855469,352.568603515625,"North",957,"NOT SIGNIFICANT"
"9",633930,4332030,0.00568892686539008,0.105024640826999,0.142223171634752,"LOW",300,350.837646484375,"North",951,"NOT SIGNIFICANT"
"10",633930,4332060,0.00444492688607476,0.343549525524585,0.111123172151869,"LOW",301.496276855469,354.289398193359,"North",947,"NOT SIGNIFICANT"
"11",633930,4332090,0.00493558844173463,0.0752827912437717,0.123389711043366,"LOW",305.941162109375,11.3099327087402,"North",945,"NOT SIGNIFICANT"
"12",633930,4332120,-0.00208239705463498,0.416244856133686,-0.0520599263658746,"LOW",313.209197998047,33.6900672912598,"Northeast",944,"NOT SIGNIFICANT"
"13",633960,4331700,0.000926694998968485,0.526558459861035,0.0231673749742121,"LOW",403.608734130859,71.5650482177734,"East",976,"NOT SIGNIFICANT"
"14",633960,4331730,0.000675843331807999,0.67747029363819,0.0168960832952,"LOW",384.187469482422,59.0362434387207,"Northeast",976,"NOT SIGNIFICANT"
"15",633960,4331760,0.00110670284784801,0.370527553365556,0.0276675711962001,"LOW",366.196655273438,35.5376777648926,"Northeast",975,"NOT SIGNIFICANT"
"16",633960,4331790,0.00174143972344386,0.305630798119897,0.0435359930860966,"LOW",349.857116699219,45,"Northeast",974,"NOT SIGNIFICANT"
"17",633960,4331820,-0.000707104856781451,0.683806250450369,-0.0176776214195363,"LOW",335.410186767578,53.1301040649414,"Northeast",973,"NOT SIGNIFICANT"
"18",633960,4331850,0.000606941455442332,0.65189514523341,0.0151735363860583,"LOW",323.109893798828,57.52880859375,"Northeast",972,"NOT SIGNIFICANT"
"19",633960,4331880,-0.000504960130654281,0.797604408122072,-0.012624003266357,"LOW",308.868896484375,55.3048477172852,"Northeast",971,"NOT SIGNIFICANT"
"20",633960,4331910,-0.000622672964716364,0.79469806844783,-0.0155668241179091,"LOW",295.465728759766,56.3099327087402,"Northeast",970,"NOT SIGNIFICANT"
"21",633960,4331940,0.00120456999482036,0.651563299042781,0.030114249870509,"LOW",284.60498046875,27.8972702026367,"Northeast",968,"NOT SIGNIFICANT"
"22",633960,4331970,0.00232357433416447,0.229552305093925,0.0580893583541117,"LOW",276.586334228516,349.992034912109,"North",963,"NOT SIGNIFICANT"
"23",633960,4332000,0.00285162873256474,0.3081565994103,0.0712907183141184,"LOW",271.661560058594,349.215698242188,"North",958,"NOT SIGNIFICANT"
"24",633960,4332030,0.00563973270374883,0.0679376374724811,0.140993317593721,"LOW",270,0,"North",952,"NOT SIGNIFICANT"
"25",633960,4332060,0.00133906443282271,0.59066187319503,0.0334766108205676,"LOW",271.661560058594,9.16234683990479,"North",947,"NOT SIGNIFICANT"
"26",633960,4332090,0.00218395087275942,0.395337296883279,0.0545987718189855,"LOW",276.586334228516,32.0053825378418,"Northeast",944,"NOT SIGNIFICANT"
"27",633960,4332120,-0.00301463091358874,0.46506614911971,-0.0753657728397186,"LOW",284.60498046875,56.3099327087402,"Northeast",943,"NOT SIGNIFICANT"
"28",633990,4331580,0.00235313448535788,0.198152521490555,0.058828362133947,NA,474.341644287109,0,"North",0,"NOT SIGNIFICANT"
"29",633990,4331610,0.00140260664568556,0.198082896846659,0.0350651661421391,"LOW",450,315,"Northwest",975,"NOT SIGNIFICANT"
"30",633990,4331640,0.0015715836822841,0.350602423953877,0.0392895920571025,"LOW",426.380126953125,180,"South",975,"NOT SIGNIFICANT"
"31",633990,4331670,-0.00102720967059034,0.341658264382669,-0.0256802417647585,"LOW",403.608734130859,90,"East",976,"NOT SIGNIFICANT"
"32",633990,4331700,0.00020012133788946,0.893789752660566,0.00500303344723649,"LOW",381.837677001953,45,"Northeast",975,"NOT SIGNIFICANT"
"33",633990,4331730,0.000255619091480471,0.880210428557863,0.00639047728701177,"LOW",361.247833251953,54.4623222351074,"Northeast",975,"NOT SIGNIFICANT"
"34",633990,4331760,0.000641502804307309,0.643363916005057,0.0160375701076827,"LOW",342.052612304688,38.6598091125488,"Northeast",974,"NOT SIGNIFICANT"
"35",633990,4331790,9.99095897511003e-05,0.943307525075583,0.00249773974377751,"LOW",324.499603271484,39.2894058227539,"Northeast",972,"NOT SIGNIFICANT"
"36",633990,4331820,6.29520868030731e-05,0.964211115062438,0.00157380217007683,"LOW",308.868896484375,50.1944274902344,"Northeast",971,"NOT SIGNIFICANT"
"37",633990,4331850,-0.000349486715781987,0.83716379023937,-0.00873716789454968,"LOW",295.465728759766,53.1301040649414,"Northeast",970,"NOT SIGNIFICANT"
"38",633990,4331880,0.00113120241532405,0.608704502199448,0.0282800603831013,"LOW",283.019439697266,59.0362434387207,"Northeast",968,"NOT SIGNIFICANT"
"39",633990,4331910,0.00142936171704223,0.61650167594268,0.0357340429260558,"LOW",268.328155517578,65.5560455322266,"Northeast",967,"NOT SIGNIFICANT"
"40",633990,4331940,0.00267271497138851,0.175228852898469,0.0668178742847126,"LOW",256.320098876953,48.3664588928223,"Northeast",966,"NOT SIGNIFICANT"
"41",633990,4331970,0.00330101126636449,0.136193450307167,0.0825252816591122,"LOW",247.386337280273,18.4349479675293,"North",964,"NOT SIGNIFICANT"
"42",633990,4332000,0.00356609931712047,0.195338923381864,0.0891524829280118,"LOW",241.867736816406,9.46232223510742,"North",958,"NOT SIGNIFICANT"
"43",633990,4332030,0.00539231141869783,0.0422468479175836,0.134807785467446,"LOW",240,9.86580657958984,"North",951,"SIGNIFICANT"
"44",633990,4332060,0.000652480897810164,0.813247034641291,0.0163120224452541,"LOW",241.867736816406,11.9761323928833,"North",946,"NOT SIGNIFICANT"
"45",633990,4332090,-0.00125073475767758,0.749185873167123,-0.0312683689419394,"LOW",247.386337280273,18.4349479675293,"North",942,"NOT SIGNIFICANT"
"46",633990,4332120,-0.00558280799091596,0.227127212348505,-0.139570199772899,"LOW",256.320098876953,37.8749847412109,"Northeast",941,"NOT SIGNIFICANT"
"47",634020,4331280,0.00281877593481166,0.0904338445326791,0.0704693983702915,"LOW",657.951354980469,336.801422119141,"Northwest",994,"NOT SIGNIFICANT"
"48",634020,4331310,0.00270354742307247,0.0328621558050696,0.0675886855768118,"LOW",636.396118164062,339.775146484375,"North",991,"SIGNIFICANT"
"49",634020,4331340,0.00350160745580506,0.189884037548495,0.0875401863951266,"LOW",615.548522949219,341.565063476562,"North",988,"NOT SIGNIFICANT"
"50",634020,4331370,0.00436430766923509,0.0478360144534129,0.109107691730877,"LOW",595.482971191406,11.3099327087402,"North",987,"SIGNIFICANT"
"51",634020,4331400,0.00431240860072214,0.0480534205672193,0.107810215018054,"LOW",576.281188964844,59.0362434387207,"Northeast",987,"SIGNIFICANT"
