"","x","y","ndvi86","ndvi11","class"
"174",634140,4331580,1,2,2
"175",634140,4331610,1,1,1
"176",634140,4331640,1,2,2
"177",634140,4331670,2,2,4
"178",634140,4331700,2,2,4
"179",634140,4331730,1,1,1
"180",634140,4331760,1,1,1
"181",634140,4331790,1,1,1
"182",634140,4331820,1,1,1
"183",634140,4331850,1,2,2
"184",634140,4331880,1,2,2
"185",634140,4331910,1,2,2
"186",634140,4331940,2,2,4
"187",634140,4331970,2,2,4
"188",634140,4332000,1,1,1
"189",634140,4332030,1,2,2
"190",634170,4331250,1,1,1
"191",634170,4331280,1,1,1
"192",634170,4331310,2,2,4
"193",634170,4331340,2,2,4
"194",634170,4331370,2,2,4
"195",634170,4331400,1,2,2
"196",634170,4331430,1,1,1
"197",634170,4331460,1,2,2
"198",634170,4331490,1,1,1
"199",634170,4331520,1,1,1
"200",634170,4331550,1,1,1
"201",634170,4331580,1,1,1
"202",634170,4331610,1,1,1
"203",634170,4331640,1,1,1
"204",634170,4331670,1,1,1
"205",634170,4331700,1,1,1
"206",634170,4331730,1,1,1
"207",634170,4331760,1,1,1
"208",634170,4331790,1,1,1
"209",634170,4331820,1,1,1
"210",634170,4331850,1,1,1
"211",634170,4331880,1,2,2
"212",634170,4331910,2,2,4
"213",634170,4331940,1,1,1
"214",634170,4331970,1,2,2
"215",634170,4332000,1,2,2
"216",634170,4332030,2,2,4
"217",634200,4331250,1,1,1
"218",634200,4331280,2,2,4
"219",634200,4331310,2,2,4
"220",634200,4331340,2,2,4
"221",634200,4331370,1,1,1
"222",634200,4331400,1,2,2
"223",634200,4331430,1,1,1
"224",634200,4331460,1,1,1
"225",634200,4331490,1,1,1
"226",634200,4331520,1,1,1
"227",634200,4331550,1,1,1
"228",634200,4331580,1,1,1
"229",634200,4331610,1,1,1
"230",634200,4331640,1,1,1
"231",634200,4331670,1,1,1
"232",634200,4331700,1,1,1
"233",634200,4331730,1,1,1
"234",634200,4331760,1,1,1
"235",634200,4331790,1,1,1
"236",634200,4331820,1,2,2
"237",634200,4331850,1,2,2
"238",634200,4331880,1,1,1
"239",634200,4331910,2,2,4
"240",634200,4331940,1,2,2
"241",634200,4331970,1,2,2
"242",634200,4332000,1,2,2
"243",634200,4332030,2,2,4
"244",634230,4331250,1,2,2
"245",634230,4331280,2,2,4
"246",634230,4331310,2,2,4
"247",634230,4331340,1,1,1
"248",634230,4331370,1,1,1
"249",634230,4331400,1,1,1
"250",634230,4331430,1,1,1
"251",634230,4331460,1,1,1
"252",634230,4331490,1,1,1
"253",634230,4331520,1,1,1
"254",634230,4331550,1,1,1
"255",634230,4331580,1,1,1
"256",634230,4331610,1,1,1
"257",634230,4331640,1,1,1
"258",634230,4331670,1,1,1
"259",634230,4331700,1,1,1
"260",634230,4331730,1,1,1
"261",634230,4331760,1,1,1
"262",634230,4331790,1,1,1
"263",634230,4331820,1,1,1
"264",634230,4331850,1,1,1
"265",634230,4331880,1,2,2
"266",634230,4331910,2,2,4
"267",634230,4331940,2,2,4
"268",634230,4331970,1,2,2
"269",634230,4332000,1,2,2
"270",634230,4332030,1,2,2
"271",634260,4331160,1,1,1
"272",634260,4331190,1,1,1
"273",634260,4331220,1,2,2
"274",634260,4331250,2,2,4
"275",634260,4331280,2,2,4
"276",634260,4331310,1,2,2
"277",634260,4331340,2,1,3
"278",634260,4331370,1,1,1
"279",634260,4331400,1,1,1
"280",634260,4331430,1,1,1
"281",634260,4331460,1,1,1
"282",634260,4331490,1,1,1
"283",634260,4331520,1,1,1
"284",634260,4331550,1,1,1
"285",634260,4331580,1,1,1
"286",634260,4331610,1,1,1
"287",634260,4331640,1,1,1
"288",634260,4331670,1,1,1
"289",634260,4331700,1,1,1
"290",634260,4331730,1,1,1
"291",634260,4331760,1,1,1
"292",634260,4331790,1,1,1
"293",634260,4331820,1,1,1
"294",634260,4331850,2,2,4
"295",634260,4331880,2,2,4
"296",634260,4331910,2,2,4
"297",634260,4331940,2,2,4
"298",634260,4331970,2,2,4
"299",634260,4332000,1,2,2
"300",634260,4332030,2,2,4
"301",634290,4331160,1,1,1
"302",634290,4331190,1,2,2
"303",634290,4331220,1,2,2
"304",634290,4331250,2,2,4
"305",634290,4331280,2,2,4
"306",634290,4331310,2,2,4
"307",634290,4331340,1,1,1
"308",634290,4331370,1,1,1
"309",634290,4331400,1,1,1
"310",634290,4331430,1,1,1
"311",634290,4331460,1,1,1
"312",634290,4331490,1,1,1
"313",634290,4331520,1,1,1
"314",634290,4331550,1,1,1
"315",634290,4331580,1,1,1
"316",634290,4331610,1,1,1
"317",634290,4331640,1,1,1
"318",634290,4331670,1,1,1
"319",634290,4331700,1,1,1
"320",634290,4331730,1,1,1
"321",634290,4331760,1,2,2
"322",634290,4331790,2,1,3
"323",634290,4331820,2,1,3
"324",634290,4331850,2,2,4
"325",634290,4331880,2,2,4
"326",634290,4331910,2,2,4
"327",634290,4331940,2,2,4
"328",634290,4331970,2,2,4
"329",634290,4332000,2,2,4
"330",634320,4331160,1,1,1
"331",634320,4331190,1,1,1
"332",634320,4331220,1,1,1
"333",634320,4331250,1,2,2
"334",634320,4331280,2,2,4
"335",634320,4331310,2,2,4
"336",634320,4331340,1,2,2
"337",634320,4331370,1,1,1
"338",634320,4331400,1,1,1
"339",634320,4331430,1,1,1
"340",634320,4331460,1,1,1
"341",634320,4331490,1,1,1
"342",634320,4331520,1,1,1
"343",634320,4331550,1,1,1
"344",634320,4331580,1,1,1
"345",634320,4331610,1,2,2
"346",634320,4331640,2,1,3
"347",634320,4331670,1,1,1
"348",634320,4331700,1,1,1
"349",634320,4331730,1,1,1
"350",634320,4331760,1,2,2
"351",634320,4331790,1,2,2
"352",634320,4331820,1,2,2
"353",634320,4331850,2,2,4
"354",634320,4331880,2,2,4
"355",634320,4331910,2,2,4
"356",634320,4331940,1,2,2
"357",634320,4331970,2,2,4
"358",634320,4332000,2,2,4
"359",634350,4331160,1,1,1
"360",634350,4331190,1,1,1
"361",634350,4331220,1,1,1
"362",634350,4331250,1,1,1
"363",634350,4331280,1,1,1
"364",634350,4331310,1,2,2
"365",634350,4331340,1,1,1
"366",634350,4331370,1,2,2
"367",634350,4331400,1,1,1
"368",634350,4331430,1,1,1
"369",634350,4331460,1,1,1
"370",634350,4331490,1,1,1
"371",634350,4331520,1,1,1
"372",634350,4331550,1,1,1
"373",634350,4331580,1,2,2
"374",634350,4331610,1,2,2
"375",634350,4331640,2,2,4
"376",634350,4331670,1,1,1
"377",634350,4331700,1,1,1
"378",634350,4331730,1,1,1
"379",634350,4331760,1,2,2
"380",634350,4331790,2,2,4
"381",634350,4331820,2,2,4
"382",634350,4331850,2,2,4
"383",634350,4331880,2,2,4
"384",634350,4331910,2,2,4
"385",634350,4331940,1,2,2
"386",634350,4331970,1,2,2
"387",634350,4332000,1,2,2
"388",634380,4331130,1,1,1
"389",634380,4331160,1,1,1
"390",634380,4331190,1,1,1
"391",634380,4331220,1,1,1
"392",634380,4331250,1,1,1
"393",634380,4331280,1,1,1
"394",634380,4331310,1,1,1
"395",634380,4331340,1,1,1
"396",634380,4331370,1,1,1
"397",634380,4331400,1,1,1
"398",634380,4331430,1,1,1
"399",634380,4331460,1,1,1
"400",634380,4331490,1,1,1
"401",634380,4331520,1,1,1
"402",634380,4331550,1,2,2
"403",634380,4331580,1,1,1
"404",634380,4331610,1,2,2
"405",634380,4331640,1,2,2
"406",634380,4331670,1,1,1
"407",634380,4331700,1,1,1
"408",634380,4331730,1,1,1
"409",634380,4331760,2,2,4
"410",634380,4331790,2,2,4
"411",634380,4331820,2,2,4
"412",634380,4331850,2,2,4
"413",634380,4331880,2,2,4
"414",634380,4331910,2,2,4
"415",634380,4331940,2,2,4
"416",634380,4331970,1,2,2
"417",634380,4332000,2,2,4
"418",634380,4332030,2,2,4
"419",634410,4331130,1,1,1
"420",634410,4331160,1,1,1
"421",634410,4331190,1,1,1
"422",634410,4331220,1,1,1
"423",634410,4331250,1,1,1
"424",634410,4331280,1,1,1
"425",634410,4331310,1,1,1
"426",634410,4331340,1,1,1
"427",634410,4331370,2,1,3
"428",634410,4331400,1,1,1
"429",634410,4331430,1,1,1
"430",634410,4331460,1,1,1
"431",634410,4331490,1,1,1
"432",634410,4331520,1,2,2
"433",634410,4331550,1,1,1
"434",634410,4331580,1,1,1
"435",634410,4331610,1,1,1
"436",634410,4331640,1,1,1
"437",634410,4331670,1,1,1
"438",634410,4331700,1,1,1
"439",634410,4331730,1,2,2
"440",634410,4331760,2,2,4
"441",634410,4331790,2,2,4
"442",634410,4331820,2,2,4
"443",634410,4331850,2,2,4
"444",634410,4331880,2,2,4
"445",634410,4331910,1,2,2
"446",634410,4331940,2,2,4
"447",634410,4331970,2,2,4
"448",634410,4332000,2,2,4
"449",634410,4332030,1,2,2
"450",634410,4332060,1,2,2
"451",634440,4331130,1,1,1
"452",634440,4331160,1,1,1
"453",634440,4331190,1,1,1
"454",634440,4331220,1,1,1
"455",634440,4331250,1,1,1
"456",634440,4331280,1,1,1
"457",634440,4331310,1,1,1
"458",634440,4331340,1,1,1
"459",634440,4331370,1,1,1
"460",634440,4331400,1,1,1
"461",634440,4331430,1,1,1
"462",634440,4331460,1,1,1
"463",634440,4331490,1,1,1
"464",634440,4331520,1,2,2
"465",634440,4331550,1,1,1
"466",634440,4331580,1,1,1
"467",634440,4331610,1,1,1
"468",634440,4331640,1,1,1
"469",634440,4331670,1,1,1
"470",634440,4331700,1,2,2
"471",634440,4331730,1,2,2
"472",634440,4331760,1,2,2
"473",634440,4331790,2,2,4
"474",634440,4331820,2,2,4
"475",634440,4331850,2,2,4
"476",634440,4331880,2,2,4
"477",634440,4331910,2,2,4
"478",634440,4331940,2,2,4
"479",634440,4331970,2,2,4
"480",634440,4332000,1,2,2
"481",634440,4332030,1,2,2
"482",634440,4332060,1,1,1
"483",634470,4331130,1,1,1
"484",634470,4331160,1,1,1
"485",634470,4331190,1,1,1
"486",634470,4331220,1,1,1
"487",634470,4331250,1,1,1
"488",634470,4331280,1,1,1
"489",634470,4331310,1,1,1
"490",634470,4331340,1,1,1
"491",634470,4331370,1,1,1
