OBJECTID,Field1,x,y,green,wet,year_,gw,RASTERVALU
1,1,633930,4332120,-0.017700184136629,-0.090787485241890,1986,-0.108487669378519,2
2,2,633960,4332120,-0.018177274614573,-0.096315488219261,1986,-0.114492762833834,2
3,3,633990,4332120,-0.018981587141752,-0.117892473936081,1986,-0.136874061077833,1
4,4,634020,4332120,-0.012542139738798,-0.118271261453629,1986,-0.130813401192427,1
5,5,634050,4332120,-0.017155149951577,-0.134030759334564,1986,-0.151185909286141,1
6,6,634080,4332120,-0.020448679104447,-0.156266987323761,1986,-0.176715666428208,1
7,7,633930,4332090,-0.004122458398342,-0.153587818145752,1986,-0.157710276544094,1
8,8,633960,4332090,-0.005995355546474,-0.158675029873848,1986,-0.164670385420322,1
9,9,633990,4332090,-0.002856869250536,-0.157814025878906,1986,-0.160670895129442,1
10,10,634020,4332090,-0.008701270446181,-0.150323584675789,1986,-0.159024855121970,1
11,11,634050,4332090,-0.015138707123697,-0.144089072942734,1986,-0.159227780066431,1
12,12,634080,4332090,-0.016366336494684,-0.152237117290497,1986,-0.168603453785181,1
13,13,633930,4332060,-0.010545428842306,-0.134989365935326,1986,-0.145534794777632,1
14,14,633960,4332060,-0.007021948695183,-0.138972550630569,1986,-0.145994499325752,1
15,15,633990,4332060,-0.012468587607145,-0.157838106155396,1986,-0.170306693762541,1
16,16,634020,4332060,-0.011153157800436,-0.163784712553024,1986,-0.174937870353460,1
17,17,634050,4332060,-0.009330747649074,-0.143865570425987,1986,-0.153196318075061,1
18,18,634080,4332060,-0.020260892808437,-0.136988520622253,1986,-0.157249413430690,1
19,19,634410,4332060,-0.001305080950260,-0.158443257212639,1986,-0.159748338162899,1
20,20,634440,4332060,-0.006730001419783,-0.147378593683243,1986,-0.154108595103026,1
21,21,634470,4332060,-0.014984587207437,-0.171340703964233,1986,-0.186325291171670,1
22,22,634500,4332060,-0.011901982128620,-0.181753233075142,1986,-0.193655215203762,1
23,23,634530,4332060,-0.013043818995357,-0.156136795878410,1986,-0.169180614873767,1
24,24,634560,4332060,-0.006842751055956,-0.155447036027908,1986,-0.162289787083864,1
25,25,634590,4332060,-0.007735604420304,-0.160420000553131,1986,-0.168155604973435,1
26,26,634620,4332060,-0.014737272635102,-0.158647567033768,1986,-0.173384839668870,1
27,27,634650,4332060,-0.024848924949765,-0.156365722417831,1986,-0.181214647367596,1
28,28,634680,4332060,-0.029191300272942,-0.151576846837997,1986,-0.180768147110939,1
29,29,634710,4332060,-0.024924032390118,-0.146368235349655,1986,-0.171292267739773,1
30,30,634740,4332060,-0.014746224507689,-0.142752900719643,1986,-0.157499125227332,1
