FID,Rowid_,GREEN_2011,X,Y,GREEN_2012,RASTERVALU
0, ,0,633930.000000000000000,4332120.000000000000000,-0.042945288121700,1
1, ,0,633960.000000000000000,4332120.000000000000000,-0.051499299705000,1
2, ,0,633990.000000000000000,4332120.000000000000000,-0.055747009813800,1
3, ,0,634020.000000000000000,4332120.000000000000000,-0.065033055841900,1
4, ,0,634050.000000000000000,4332120.000000000000000,-0.084124140441400,1
5, ,0,634080.000000000000000,4332120.000000000000000,-0.058655686676500,1
6, ,0,633930.000000000000000,4332090.000000000000000,-0.024564990773800,1
7, ,0,633960.000000000000000,4332090.000000000000000,-0.027313012629700,1
8, ,0,633990.000000000000000,4332090.000000000000000,-0.040832199156300,1
9, ,0,634020.000000000000000,4332090.000000000000000,-0.066061802208400,1
10, ,0,634050.000000000000000,4332090.000000000000000,-0.080621391534800,1
11, ,0,634080.000000000000000,4332090.000000000000000,-0.054464295506500,1
12, ,0,633930.000000000000000,4332060.000000000000000,-0.019758945331000,2
13, ,0,633960.000000000000000,4332060.000000000000000,-0.029045280069100,1
14, ,0,633990.000000000000000,4332060.000000000000000,-0.032999426126500,1
15, ,0,634020.000000000000000,4332060.000000000000000,-0.036823261529200,1
16, ,0,634050.000000000000000,4332060.000000000000000,-0.031250730156900,1
17, ,0,634080.000000000000000,4332060.000000000000000,-0.032418634742500,1
18, ,0,634410.000000000000000,4332060.000000000000000,-0.024185702204700,1
19, ,0,634440.000000000000000,4332060.000000000000000,-0.028671016916600,1
20, ,0,634470.000000000000000,4332060.000000000000000,-0.035612646490300,1
21, ,0,634500.000000000000000,4332060.000000000000000,-0.029408726841200,1
22, ,0,634530.000000000000000,4332060.000000000000000,-0.032328467816100,1
23, ,0,634560.000000000000000,4332060.000000000000000,-0.031217180192500,1
24, ,0,634590.000000000000000,4332060.000000000000000,-0.031860306859000,1
25, ,0,634620.000000000000000,4332060.000000000000000,-0.026567377150100,1
26, ,0,634650.000000000000000,4332060.000000000000000,-0.036182358861000,1
27, ,0,634680.000000000000000,4332060.000000000000000,-0.043827235698700,1
28, ,0,634710.000000000000000,4332060.000000000000000,-0.043162003159500,1
29, ,0,634740.000000000000000,4332060.000000000000000,-0.030784092843500,1
30, ,0,634770.000000000000000,4332060.000000000000000,-0.025807555764900,1
31, ,0,633930.000000000000000,4332030.000000000000000,-0.022201046347600,1
32, ,0,633960.000000000000000,4332030.000000000000000,-0.024111689999700,1
33, ,0,633990.000000000000000,4332030.000000000000000,-0.019904768094400,2
34, ,0,634020.000000000000000,4332030.000000000000000,-0.021985607221700,1
35, ,0,634050.000000000000000,4332030.000000000000000,-0.023355040699200,1
36, ,0,634080.000000000000000,4332030.000000000000000,-0.016682624816900,2
37, ,0,634110.000000000000000,4332030.000000000000000,-0.024431198835400,1
38, ,0,634140.000000000000000,4332030.000000000000000,-0.017550921067600,2
39, ,0,634170.000000000000000,4332030.000000000000000,-0.005787364207210,2
40, ,0,634200.000000000000000,4332030.000000000000000,0.006051111035050,2
41, ,0,634230.000000000000000,4332030.000000000000000,0.007611259818080,2
42, ,0,634260.000000000000000,4332030.000000000000000,0.001207061111930,2
43, ,0,634380.000000000000000,4332030.000000000000000,-0.013817546889200,2
44, ,0,634410.000000000000000,4332030.000000000000000,-0.013864364475000,2
45, ,0,634440.000000000000000,4332030.000000000000000,-0.022444620728500,1
46, ,0,634470.000000000000000,4332030.000000000000000,-0.020766761153900,1
47, ,0,634500.000000000000000,4332030.000000000000000,-0.020329274237200,1
48, ,0,634530.000000000000000,4332030.000000000000000,-0.028502732515300,1
49, ,0,634560.000000000000000,4332030.000000000000000,-0.029556762427100,1
50, ,0,634590.000000000000000,4332030.000000000000000,-0.035859707742900,1
51, ,0,634620.000000000000000,4332030.000000000000000,-0.037232920527500,1
52, ,0,634650.000000000000000,4332030.000000000000000,-0.034884810447700,1
53, ,0,634680.000000000000000,4332030.000000000000000,-0.033483743667600,1
54, ,0,634710.000000000000000,4332030.000000000000000,-0.030029367655500,1
55, ,0,634740.000000000000000,4332030.000000000000000,-0.026080250740100,1
56, ,0,634770.000000000000000,4332030.000000000000000,-0.013186123222100,2
57, ,0,634800.000000000000000,4332030.000000000000000,-0.014057004824300,2
58, ,0,634830.000000000000000,4332030.000000000000000,-0.013079850003100,2
59, ,0,634860.000000000000000,4332030.000000000000000,-0.009795674122870,2
60, ,0,633930.000000000000000,4332000.000000000000000,-0.028619766235400,1
61, ,0,633960.000000000000000,4332000.000000000000000,-0.028089590370700,1
62, ,0,633990.000000000000000,4332000.000000000000000,-0.023228170350200,1
63, ,0,634020.000000000000000,4332000.000000000000000,-0.020166356116500,1
64, ,0,634050.000000000000000,4332000.000000000000000,-0.022397462278600,1
