FID,Rowid_,GREEN_2011,X,Y,GREEN_2012,RASTERVALU
65, ,0,634080.000000000000000,4332000.000000000000000,-0.016981530934600,2
66, ,0,634110.000000000000000,4332000.000000000000000,-0.026578161865500,1
67, ,0,634140.000000000000000,4332000.000000000000000,-0.020045235753100,2
68, ,0,634170.000000000000000,4332000.000000000000000,0.000459548085928,2
69, ,0,634200.000000000000000,4332000.000000000000000,0.002639733254910,2
70, ,0,634230.000000000000000,4332000.000000000000000,0.006064372137190,2
71, ,0,634260.000000000000000,4332000.000000000000000,0.002045635133980,2
72, ,0,634290.000000000000000,4332000.000000000000000,-0.006014861166480,2
73, ,0,634320.000000000000000,4332000.000000000000000,-0.012272886000600,2
74, ,0,634350.000000000000000,4332000.000000000000000,-0.013464521616700,2
75, ,0,634380.000000000000000,4332000.000000000000000,-0.006903758272530,2
76, ,0,634410.000000000000000,4332000.000000000000000,-0.008745443075900,2
77, ,0,634440.000000000000000,4332000.000000000000000,-0.016901802271600,2
78, ,0,634470.000000000000000,4332000.000000000000000,-0.021325748413800,1
79, ,0,634500.000000000000000,4332000.000000000000000,-0.020740181207700,1
80, ,0,634530.000000000000000,4332000.000000000000000,-0.023011747747700,1
81, ,0,634560.000000000000000,4332000.000000000000000,-0.031736936420200,1
82, ,0,634590.000000000000000,4332000.000000000000000,-0.043193586170700,1
83, ,0,634620.000000000000000,4332000.000000000000000,-0.038913924247000,1
84, ,0,634650.000000000000000,4332000.000000000000000,-0.035441208630800,1
85, ,0,634680.000000000000000,4332000.000000000000000,-0.031591121107300,1
86, ,0,634710.000000000000000,4332000.000000000000000,-0.026813853532100,1
87, ,0,634740.000000000000000,4332000.000000000000000,-0.024633660912500,1
88, ,0,634770.000000000000000,4332000.000000000000000,-0.009828884154560,2
89, ,0,634800.000000000000000,4332000.000000000000000,-0.008375976234670,2
90, ,0,634830.000000000000000,4332000.000000000000000,-0.010180344805100,2
91, ,0,634860.000000000000000,4332000.000000000000000,-0.007430444471540,2
92, ,0,634890.000000000000000,4332000.000000000000000,-0.010167349129900,2
93, ,0,633930.000000000000000,4331970.000000000000000,-0.038540951907600,1
94, ,0,633960.000000000000000,4331970.000000000000000,-0.035994783043900,1
95, ,0,633990.000000000000000,4331970.000000000000000,-0.030625309795100,1
96, ,0,634020.000000000000000,4331970.000000000000000,-0.022077351808500,1
97, ,0,634050.000000000000000,4331970.000000000000000,-0.013570466078800,2
98, ,0,634080.000000000000000,4331970.000000000000000,-0.019494187086800,2
99, ,0,634110.000000000000000,4331970.000000000000000,-0.019356243312400,2
100, ,0,634140.000000000000000,4331970.000000000000000,-0.009439504705370,2
101, ,0,634170.000000000000000,4331970.000000000000000,-0.008811257779600,2
102, ,0,634200.000000000000000,4331970.000000000000000,-0.015990780666500,2
103, ,0,634230.000000000000000,4331970.000000000000000,-0.013960872776800,2
104, ,0,634260.000000000000000,4331970.000000000000000,0.001595512032510,2
105, ,0,634290.000000000000000,4331970.000000000000000,0.001332321204240,2
106, ,0,634320.000000000000000,4331970.000000000000000,-0.000823186710477,2
107, ,0,634350.000000000000000,4331970.000000000000000,-0.000699792057276,2
108, ,0,634380.000000000000000,4331970.000000000000000,-0.003731880337000,2
109, ,0,634410.000000000000000,4331970.000000000000000,0.005054000765090,2
110, ,0,634440.000000000000000,4331970.000000000000000,0.003307210281490,2
111, ,0,634470.000000000000000,4331970.000000000000000,-0.005988616496320,2
112, ,0,634500.000000000000000,4331970.000000000000000,-0.011197971180100,2
113, ,0,634530.000000000000000,4331970.000000000000000,-0.017292469739900,2
114, ,0,634560.000000000000000,4331970.000000000000000,-0.025444731116300,1
115, ,0,634590.000000000000000,4331970.000000000000000,-0.036608126014500,1
116, ,0,634620.000000000000000,4331970.000000000000000,-0.032307900488400,1
117, ,0,634650.000000000000000,4331970.000000000000000,-0.028842145577100,1
118, ,0,634680.000000000000000,4331970.000000000000000,-0.023682758212100,1
119, ,0,634710.000000000000000,4331970.000000000000000,-0.007936281152070,2
120, ,0,634740.000000000000000,4331970.000000000000000,-0.010341031476900,2
121, ,0,634770.000000000000000,4331970.000000000000000,-0.011910048313400,2
122, ,0,634800.000000000000000,4331970.000000000000000,-0.006316950544710,2
123, ,0,634830.000000000000000,4331970.000000000000000,-0.007064467296000,2
124, ,0,634860.000000000000000,4331970.000000000000000,-0.008510095998640,2
125, ,0,634890.000000000000000,4331970.000000000000000,-0.018710283562500,2
126, ,0,633930.000000000000000,4331940.000000000000000,-0.038130030036000,1
127, ,0,633960.000000000000000,4331940.000000000000000,-0.034948363900200,1
128, ,0,633990.000000000000000,4331940.000000000000000,-0.032775767147500,1
129, ,0,634020.000000000000000,4331940.000000000000000,-0.018027622252700,2
130, ,0,634050.000000000000000,4331940.000000000000000,-0.011143594980200,2
131, ,0,634080.000000000000000,4331940.000000000000000,-0.006671569310130,2
132, ,0,634110.000000000000000,4331940.000000000000000,-0.008621756918730,2
133, ,0,634140.000000000000000,4331940.000000000000000,-0.013656228780700,2
134, ,0,634170.000000000000000,4331940.000000000000000,-0.015442853793500,2
135, ,0,634200.000000000000000,4331940.000000000000000,-0.027656521648200,1
136, ,0,634230.000000000000000,4331940.000000000000000,-0.018267422914500,2
137, ,0,634260.000000000000000,4331940.000000000000000,0.012977519072600,2
138, ,0,634290.000000000000000,4331940.000000000000000,0.005196640267970,2
139, ,0,634320.000000000000000,4331940.000000000000000,-0.003910278901460,2
140, ,0,634350.000000000000000,4331940.000000000000000,0.001692987047140,2
141, ,0,634380.000000000000000,4331940.000000000000000,-0.000703583471477,2
142, ,0,634410.000000000000000,4331940.000000000000000,0.002492634579540,2
143, ,0,634440.000000000000000,4331940.000000000000000,0.001629341393710,2
144, ,0,634470.000000000000000,4331940.000000000000000,0.002061132341620,2
145, ,0,634500.000000000000000,4331940.000000000000000,0.007335072383290,2
146, ,0,634530.000000000000000,4331940.000000000000000,0.002952247858050,2
147, ,0,634560.000000000000000,4331940.000000000000000,-0.014695383608300,2
148, ,0,634590.000000000000000,4331940.000000000000000,-0.020497560501100,1
149, ,0,634620.000000000000000,4331940.000000000000000,-0.016690501943200,2
150, ,0,634650.000000000000000,4331940.000000000000000,-0.016489934176200,2
151, ,0,634680.000000000000000,4331940.000000000000000,-0.010025032796000,2
152, ,0,634710.000000000000000,4331940.000000000000000,-0.009934235364200,2
153, ,0,634740.000000000000000,4331940.000000000000000,-0.014155414886800,2
154, ,0,634770.000000000000000,4331940.000000000000000,-0.009833002462980,2
155, ,0,634800.000000000000000,4331940.000000000000000,-0.011622823774800,2
156, ,0,634830.000000000000000,4331940.000000000000000,-0.013531250879200,2
157, ,0,634860.000000000000000,4331940.000000000000000,-0.015913575887700,2
158, ,0,634890.000000000000000,4331940.000000000000000,-0.019647886976600,2
159, ,0,634920.000000000000000,4331940.000000000000000,-0.017970040440600,2
160, ,0,634950.000000000000000,4331940.000000000000000,-0.020613662898500,1
161, ,0,633930.000000000000000,4331910.000000000000000,-0.036375649273400,1
162, ,0,633960.000000000000000,4331910.000000000000000,-0.039771817624600,1
163, ,0,633990.000000000000000,4331910.000000000000000,-0.033436916768600,1
164, ,0,634020.000000000000000,4331910.000000000000000,-0.027791615575600,1
165, ,0,634050.000000000000000,4331910.000000000000000,-0.003024560399350,2
166, ,0,634080.000000000000000,4331910.000000000000000,-0.000074733048677,2
167, ,0,634110.000000000000000,4331910.000000000000000,0.001995681785050,2
168, ,0,634140.000000000000000,4331910.000000000000000,-0.007496559526770,2
169, ,0,634170.000000000000000,4331910.000000000000000,-0.019763048738200,2
170, ,0,634200.000000000000000,4331910.000000000000000,-0.017443031072600,2
171, ,0,634230.000000000000000,4331910.000000000000000,-0.009058936499060,2
172, ,0,634260.000000000000000,4331910.000000000000000,-0.010133181698600,2
173, ,0,634290.000000000000000,4331910.000000000000000,-0.007321938872340,2
174, ,0,634320.000000000000000,4331910.000000000000000,-0.014365131035400,2
175, ,0,634350.000000000000000,4331910.000000000000000,-0.000949079170823,2
176, ,0,634380.000000000000000,4331910.000000000000000,0.003516329452390,2
177, ,0,634410.000000000000000,4331910.000000000000000,0.002201311290260,2
178, ,0,634440.000000000000000,4331910.000000000000000,0.001865342259410,2
179, ,0,634470.000000000000000,4331910.000000000000000,0.005212808959190,2
180, ,0,634500.000000000000000,4331910.000000000000000,0.008881941437720,2
181, ,0,634530.000000000000000,4331910.000000000000000,0.008304944261910,2
182, ,0,634560.000000000000000,4331910.000000000000000,-0.000118384137750,2
183, ,0,634590.000000000000000,4331910.000000000000000,-0.011215058155400,2
184, ,0,634620.000000000000000,4331910.000000000000000,-0.009218061342830,2
185, ,0,634650.000000000000000,4331910.000000000000000,-0.009782066568730,2
186, ,0,634680.000000000000000,4331910.000000000000000,-0.011794272810200,2
187, ,0,634710.000000000000000,4331910.000000000000000,-0.022168137133100,1
188, ,0,634740.000000000000000,4331910.000000000000000,-0.022455362603100,1
189, ,0,634770.000000000000000,4331910.000000000000000,-0.019160438329000,2
190, ,0,634800.000000000000000,4331910.000000000000000,-0.021190661937000,1
191, ,0,634830.000000000000000,4331910.000000000000000,-0.016662005335100,2
192, ,0,634860.000000000000000,4331910.000000000000000,-0.015509909018900,2
193, ,0,634890.000000000000000,4331910.000000000000000,-0.012847667560000,2
194, ,0,634920.000000000000000,4331910.000000000000000,-0.016486434266000,2
195, ,0,634950.000000000000000,4331910.000000000000000,-0.013919718563600,2
196, ,0,634980.000000000000000,4331910.000000000000000,-0.020501360297200,1
197, ,0,635010.000000000000000,4331910.000000000000000,-0.025063227862100,1
198, ,0,635040.000000000000000,4331910.000000000000000,-0.031801786273700,1
199, ,0,635070.000000000000000,4331910.000000000000000,-0.036473713815200,1
200, ,0,635100.000000000000000,4331910.000000000000000,-0.038409046828700,1
201, ,0,635130.000000000000000,4331910.000000000000000,-0.033995579928200,1
202, ,0,635160.000000000000000,4331910.000000000000000,-0.021602209657400,1
203, ,0,635190.000000000000000,4331910.000000000000000,-0.018422748893500,2
204, ,0,633930.000000000000000,4331880.000000000000000,-0.036143787205200,1
205, ,0,633960.000000000000000,4331880.000000000000000,-0.039009455591400,1
206, ,0,633990.000000000000000,4331880.000000000000000,-0.034167025238300,1
207, ,0,634020.000000000000000,4331880.000000000000000,-0.031035928055600,1
208, ,0,634050.000000000000000,4331880.000000000000000,-0.022899199277200,1
209, ,0,634080.000000000000000,4331880.000000000000000,-0.002189119346440,2
210, ,0,634110.000000000000000,4331880.000000000000000,-0.009795674122870,2
211, ,0,634140.000000000000000,4331880.000000000000000,-0.015822149813200,2
212, ,0,634170.000000000000000,4331880.000000000000000,-0.019306261092400,2
213, ,0,634200.000000000000000,4331880.000000000000000,-0.023853875696700,1
214, ,0,634230.000000000000000,4331880.000000000000000,-0.021431092172900,1
215, ,0,634260.000000000000000,4331880.000000000000000,-0.007388687692580,2
216, ,0,634290.000000000000000,4331880.000000000000000,0.001686948351560,2
217, ,0,634320.000000000000000,4331880.000000000000000,0.004639903083440,2
218, ,0,634350.000000000000000,4331880.000000000000000,0.007374334614720,2
219, ,0,634380.000000000000000,4331880.000000000000000,0.007727948017420,2
220, ,0,634410.000000000000000,4331880.000000000000000,0.012370466254700,2
221, ,0,634440.000000000000000,4331880.000000000000000,0.015128254890400,2
222, ,0,634470.000000000000000,4331880.000000000000000,0.000353267416358,2
223, ,0,634500.000000000000000,4331880.000000000000000,0.013783244416100,2
224, ,0,634530.000000000000000,4331880.000000000000000,0.012199347838800,2
225, ,0,634560.000000000000000,4331880.000000000000000,0.002494525164370,2
226, ,0,634590.000000000000000,4331880.000000000000000,-0.004562564194200,2
227, ,0,634620.000000000000000,4331880.000000000000000,-0.016359901055700,2
228, ,0,634650.000000000000000,4331880.000000000000000,-0.010576408356400,2
229, ,0,634680.000000000000000,4331880.000000000000000,-0.010239799507000,2
230, ,0,634710.000000000000000,4331880.000000000000000,-0.020043943077300,2
231, ,0,634740.000000000000000,4331880.000000000000000,-0.019767472520500,2
232, ,0,634770.000000000000000,4331880.000000000000000,-0.012984292581700,2
233, ,0,634800.000000000000000,4331880.000000000000000,-0.015523221343800,2
234, ,0,634830.000000000000000,4331880.000000000000000,-0.014945911243600,2
235, ,0,634860.000000000000000,4331880.000000000000000,-0.015752866864200,2
236, ,0,634890.000000000000000,4331880.000000000000000,-0.013599274680000,2
237, ,0,634920.000000000000000,4331880.000000000000000,-0.018324980512300,2
238, ,0,634950.000000000000000,4331880.000000000000000,-0.017947591841200,2
239, ,0,634980.000000000000000,4331880.000000000000000,-0.023698246106500,1
240, ,0,635010.000000000000000,4331880.000000000000000,-0.031637944281100,1
241, ,0,635040.000000000000000,4331880.000000000000000,-0.033959489315700,1
242, ,0,635070.000000000000000,4331880.000000000000000,-0.034838911145900,1
243, ,0,635100.000000000000000,4331880.000000000000000,-0.040664210915600,1
244, ,0,635130.000000000000000,4331880.000000000000000,-0.041151687502900,1
245, ,0,635160.000000000000000,4331880.000000000000000,-0.034452654421300,1
246, ,0,635190.000000000000000,4331880.000000000000000,-0.031850829720500,1
247, ,0,635220.000000000000000,4331880.000000000000000,-0.021757243201100,1
248, ,0,635250.000000000000000,4331880.000000000000000,-0.005414773710070,2
249, ,0,635280.000000000000000,4331880.000000000000000,-0.009283836930990,2
250, ,0,635310.000000000000000,4331880.000000000000000,-0.019222108647200,2
251, ,0,635340.000000000000000,4331880.000000000000000,-0.025900918990400,1
252, ,0,635370.000000000000000,4331880.000000000000000,-0.018418632447700,2
253, ,0,635400.000000000000000,4331880.000000000000000,-0.024785816669500,1
254, ,0,635430.000000000000000,4331880.000000000000000,-0.033625449985300,1
255, ,0,635460.000000000000000,4331880.000000000000000,-0.033148739486900,1
256, ,0,635490.000000000000000,4331880.000000000000000,-0.025063227862100,1
257, ,0,635520.000000000000000,4331880.000000000000000,-0.025420073419800,1
258, ,0,633930.000000000000000,4331850.000000000000000,-0.031951379030900,1
259, ,0,633960.000000000000000,4331850.000000000000000,-0.038968354463600,1
260, ,0,633990.000000000000000,4331850.000000000000000,-0.037755511701100,1
261, ,0,634020.000000000000000,4331850.000000000000000,-0.032261081039900,1
262, ,0,634050.000000000000000,4331850.000000000000000,-0.029048733413200,1
263, ,0,634080.000000000000000,4331850.000000000000000,-0.010599497705700,2
264, ,0,634110.000000000000000,4331850.000000000000000,-0.022888096049400,1
265, ,0,634140.000000000000000,4331850.000000000000000,-0.020664591342200,1
266, ,0,634170.000000000000000,4331850.000000000000000,-0.027156081050600,1
267, ,0,634200.000000000000000,4331850.000000000000000,-0.021696185693100,1
268, ,0,634230.000000000000000,4331850.000000000000000,-0.026244726032000,1
269, ,0,634260.000000000000000,4331850.000000000000000,-0.023388871923100,1
270, ,0,634290.000000000000000,4331850.000000000000000,-0.014833316206900,2
271, ,0,634320.000000000000000,4331850.000000000000000,-0.001606728881600,2
272, ,0,634350.000000000000000,4331850.000000000000000,0.005523430183530,2
273, ,0,634380.000000000000000,4331850.000000000000000,0.013989799656000,2
274, ,0,634410.000000000000000,4331850.000000000000000,0.008675386197860,2
275, ,0,634440.000000000000000,4331850.000000000000000,0.000559821724892,2
276, ,0,634470.000000000000000,4331850.000000000000000,-0.006464054808020,2
277, ,0,634500.000000000000000,4331850.000000000000000,0.019155863672500,2
278, ,0,634530.000000000000000,4331850.000000000000000,0.012929458171100,2
279, ,0,634560.000000000000000,4331850.000000000000000,0.008227789774540,2
280, ,0,634590.000000000000000,4331850.000000000000000,0.005549047142270,2
281, ,0,634620.000000000000000,4331850.000000000000000,0.000582294538617,2
282, ,0,634650.000000000000000,4331850.000000000000000,-0.008814726024870,2
283, ,0,634680.000000000000000,4331850.000000000000000,-0.009592602029440,2
284, ,0,634710.000000000000000,4331850.000000000000000,-0.013963373377900,2
285, ,0,634740.000000000000000,4331850.000000000000000,-0.015990462154100,2
286, ,0,634770.000000000000000,4331850.000000000000000,-0.008536316454410,2
287, ,0,634800.000000000000000,4331850.000000000000000,-0.016214704141000,2
288, ,0,634830.000000000000000,4331850.000000000000000,-0.014467907138200,2
289, ,0,634860.000000000000000,4331850.000000000000000,-0.015622870996600,2
290, ,0,634890.000000000000000,4331850.000000000000000,-0.024358432740000,1
291, ,0,634920.000000000000000,4331850.000000000000000,-0.028034586459400,1
292, ,0,634950.000000000000000,4331850.000000000000000,-0.021478844806600,1
293, ,0,634980.000000000000000,4331850.000000000000000,-0.025738280266500,1
294, ,0,635010.000000000000000,4331850.000000000000000,-0.034991055727000,1
295, ,0,635040.000000000000000,4331850.000000000000000,-0.036748614162200,1
296, ,0,635070.000000000000000,4331850.000000000000000,-0.037239573895900,1
297, ,0,635100.000000000000000,4331850.000000000000000,-0.031725239008700,1
298, ,0,635130.000000000000000,4331850.000000000000000,-0.037152267992500,1
299, ,0,635160.000000000000000,4331850.000000000000000,-0.036109935492300,1
300, ,0,635190.000000000000000,4331850.000000000000000,-0.025463404133900,1
301, ,0,635220.000000000000000,4331850.000000000000000,-0.035808764398100,1
302, ,0,635250.000000000000000,4331850.000000000000000,-0.028471102938100,1
303, ,0,635280.000000000000000,4331850.000000000000000,-0.023515742272100,1
304, ,0,635310.000000000000000,4331850.000000000000000,-0.013087457045900,2
305, ,0,635340.000000000000000,4331850.000000000000000,-0.025515573099300,1
306, ,0,635370.000000000000000,4331850.000000000000000,-0.022860910743500,1
307, ,0,635400.000000000000000,4331850.000000000000000,-0.033631153404700,1
308, ,0,635430.000000000000000,4331850.000000000000000,-0.031115017831300,1
309, ,0,635460.000000000000000,4331850.000000000000000,-0.025753132998900,1
310, ,0,635490.000000000000000,4331850.000000000000000,-0.030421912670100,1
311, ,0,635520.000000000000000,4331850.000000000000000,-0.033070258796200,1
312, ,0,635550.000000000000000,4331850.000000000000000,-0.034337528049900,1
313, ,0,635580.000000000000000,4331850.000000000000000,-0.037683054804800,1
314, ,0,635610.000000000000000,4331850.000000000000000,-0.041628379374700,1
315, ,0,635640.000000000000000,4331850.000000000000000,-0.040755614638300,1
316, ,0,635670.000000000000000,4331850.000000000000000,-0.041566722095000,1
317, ,0,635700.000000000000000,4331850.000000000000000,-0.037574246525800,1
318, ,0,633930.000000000000000,4331820.000000000000000,-0.031617339700500,1
319, ,0,633960.000000000000000,4331820.000000000000000,-0.038960739970200,1
320, ,0,633990.000000000000000,4331820.000000000000000,-0.039190381765400,1
321, ,0,634020.000000000000000,4331820.000000000000000,-0.036822952330100,1
322, ,0,634050.000000000000000,4331820.000000000000000,-0.026444053277400,1
323, ,0,634080.000000000000000,4331820.000000000000000,-0.012293128296700,2
324, ,0,634110.000000000000000,4331820.000000000000000,-0.027014689520000,1
325, ,0,634140.000000000000000,4331820.000000000000000,-0.025281161069900,1
326, ,0,634170.000000000000000,4331820.000000000000000,-0.028078831732300,1
327, ,0,634200.000000000000000,4331820.000000000000000,-0.022666994482300,1
328, ,0,634230.000000000000000,4331820.000000000000000,-0.032318040728600,1
329, ,0,634260.000000000000000,4331820.000000000000000,-0.031286459416200,1
330, ,0,634290.000000000000000,4331820.000000000000000,-0.030115718022000,1
331, ,0,634320.000000000000000,4331820.000000000000000,-0.016364036127900,2
332, ,0,634350.000000000000000,4331820.000000000000000,0.005914421752090,2
333, ,0,634380.000000000000000,4331820.000000000000000,0.011931095272300,2
334, ,0,634410.000000000000000,4331820.000000000000000,0.005364612676200,2
335, ,0,634440.000000000000000,4331820.000000000000000,0.010862175375200,2
336, ,0,634470.000000000000000,4331820.000000000000000,0.011094400659200,2
337, ,0,634500.000000000000000,4331820.000000000000000,0.012548276223200,2
338, ,0,634530.000000000000000,4331820.000000000000000,0.004221729934220,2
339, ,0,634560.000000000000000,4331820.000000000000000,0.015010593459000,2
340, ,0,634590.000000000000000,4331820.000000000000000,0.009499765932560,2
341, ,0,634620.000000000000000,4331820.000000000000000,0.001280455850060,2
342, ,0,634650.000000000000000,4331820.000000000000000,-0.000744422897696,2
343, ,0,634680.000000000000000,4331820.000000000000000,-0.009506242349740,2
344, ,0,634710.000000000000000,4331820.000000000000000,-0.016742672771200,2
345, ,0,634740.000000000000000,4331820.000000000000000,-0.018813090398900,2
346, ,0,634770.000000000000000,4331820.000000000000000,-0.023065272718700,1
347, ,0,634800.000000000000000,4331820.000000000000000,-0.023767527192800,1
348, ,0,634830.000000000000000,4331820.000000000000000,-0.019949385896300,2
349, ,0,634860.000000000000000,4331820.000000000000000,-0.022742602974200,1
350, ,0,634890.000000000000000,4331820.000000000000000,-0.027603074908300,1
351, ,0,634920.000000000000000,4331820.000000000000000,-0.031426914036300,1
352, ,0,634950.000000000000000,4331820.000000000000000,-0.033730473369400,1
353, ,0,634980.000000000000000,4331820.000000000000000,-0.031667314469800,1
354, ,0,635010.000000000000000,4331820.000000000000000,-0.028413215652100,1
355, ,0,635040.000000000000000,4331820.000000000000000,-0.034675065428000,1
356, ,0,635070.000000000000000,4331820.000000000000000,-0.029452037066200,1
357, ,0,635100.000000000000000,4331820.000000000000000,-0.031972296536000,1
358, ,0,635130.000000000000000,4331820.000000000000000,-0.022590106353200,1
359, ,0,635160.000000000000000,4331820.000000000000000,-0.022437009960400,1
360, ,0,635190.000000000000000,4331820.000000000000000,-0.028180066496100,1
361, ,0,635220.000000000000000,4331820.000000000000000,-0.036214664578400,1
362, ,0,635250.000000000000000,4331820.000000000000000,-0.035807847976700,1
363, ,0,635280.000000000000000,4331820.000000000000000,-0.038383752107600,1
364, ,0,635310.000000000000000,4331820.000000000000000,-0.035339020192600,1
365, ,0,635340.000000000000000,4331820.000000000000000,-0.038724452257200,1
366, ,0,635370.000000000000000,4331820.000000000000000,-0.030606361106000,1
367, ,0,635400.000000000000000,4331820.000000000000000,-0.027772016823300,1
368, ,0,635430.000000000000000,4331820.000000000000000,-0.036807145923400,1
369, ,0,635460.000000000000000,4331820.000000000000000,-0.037382528185800,1
370, ,0,635490.000000000000000,4331820.000000000000000,-0.038533709943300,1
371, ,0,635520.000000000000000,4331820.000000000000000,-0.038769066333800,1
372, ,0,635550.000000000000000,4331820.000000000000000,-0.042209491133700,1
373, ,0,635580.000000000000000,4331820.000000000000000,-0.037566963583200,1
374, ,0,635610.000000000000000,4331820.000000000000000,-0.038620661944200,1
375, ,0,635640.000000000000000,4331820.000000000000000,-0.040475681424100,1
376, ,0,635670.000000000000000,4331820.000000000000000,-0.037482805550100,1
377, ,0,635700.000000000000000,4331820.000000000000000,-0.038925297558300,1
378, ,0,635730.000000000000000,4331820.000000000000000,-0.041460409760500,1
379, ,0,635760.000000000000000,4331820.000000000000000,-0.043016463518100,1
380, ,0,635790.000000000000000,4331820.000000000000000,-0.041649580001800,1
381, ,0,635820.000000000000000,4331820.000000000000000,-0.040782202035200,1
382, ,0,635850.000000000000000,4331820.000000000000000,-0.043175268918300,1
383, ,0,635880.000000000000000,4331820.000000000000000,-0.041249424219100,1
384, ,0,635910.000000000000000,4331820.000000000000000,-0.044004365801800,1
385, ,0,635940.000000000000000,4331820.000000000000000,-0.046262986958000,1
386, ,0,633930.000000000000000,4331790.000000000000000,-0.025274837389600,1
387, ,0,633960.000000000000000,4331790.000000000000000,-0.033974390476900,1
