Rowid_,WEIMER_DIST2_CLI,X,Y,WEIMER_DIST2_C_1
,323,633935.727316665000000,4332135.031022510500000,323.109893798828120
,295,633965.727316665000000,4332135.031022510500000,295.465728759765620
,268,633995.727316665000000,4332135.031022510500000,268.328155517578130
,242,634025.727316665000000,4332135.031022510500000,241.867736816406250
,216,634055.727316665000000,4332135.031022510500000,216.333084106445310
,313,633935.727316665000000,4332105.031022510500000,313.209197998046870
,285,633965.727316665000000,4332105.031022510500000,284.604980468750000
,256,633995.727316665000000,4332105.031022510500000,256.320098876953120
,228,634025.727316665000000,4332105.031022510500000,228.473190307617190
,201,634055.727316665000000,4332105.031022510500000,201.246124267578130
,175,634085.727316665000000,4332105.031022510500000,174.928558349609370
,306,633935.727316665000000,4332075.031022510500000,305.941162109375000
,277,633965.727316665000000,4332075.031022510500000,276.586334228515630
,247,633995.727316665000000,4332075.031022510500000,247.386337280273440
,218,634025.727316665000000,4332075.031022510500000,218.403289794921880
,190,634055.727316665000000,4332075.031022510500000,189.736663818359370
,162,634085.727316665000000,4332075.031022510500000,161.554946899414060
,134,634415.727316665000000,4332075.031022510500000,134.164077758789060
,150,634445.727316665000000,4332075.031022510500000,150.000000000000000
,170,634475.727316665000000,4332075.031022510500000,169.705627441406250
,192,634505.727316665000000,4332075.031022510500000,192.093734741210940
,301,633935.727316665000000,4332045.031022510500000,301.496276855468750
,272,633965.727316665000000,4332045.031022510500000,271.661560058593750
,242,633995.727316665000000,4332045.031022510500000,241.867736816406250
,212,634025.727316665000000,4332045.031022510500000,212.132034301757810
,182,634055.727316665000000,4332045.031022510500000,182.482879638671870
,153,634085.727316665000000,4332045.031022510500000,152.970581054687500
,95,634385.727316665000000,4332045.031022510500000,94.868331909179688
,108,634415.727316665000000,4332045.031022510500000,108.166542053222660
,127,634445.727316665000000,4332045.031022510500000,127.279220581054690
,150,634475.727316665000000,4332045.031022510500000,150.000000000000000
,170,634505.727316665000000,4332045.031022510500000,169.705627441406250
,192,634535.727316665000000,4332045.031022510500000,192.093734741210940
,212,634565.727316665000000,4332045.031022510500000,212.132034301757810
,234,634595.727316665000000,4332045.031022510500000,234.307495117187500
,255,634625.727316665000000,4332045.031022510500000,254.558441162109370
,277,634655.727316665000000,4332045.031022510500000,276.586334228515630
,300,634685.727316665000000,4332045.031022510500000,300.000000000000000
,313,634715.727316665000000,4332045.031022510500000,313.209197998046870
,323,634745.727316665000000,4332045.031022510500000,323.109893798828120
,335,634775.727316665000000,4332045.031022510500000,335.410186767578120
,300,633935.727316665000000,4332015.031022510500000,300.000000000000000
,270,633965.727316665000000,4332015.031022510500000,270.000000000000000
,240,633995.727316665000000,4332015.031022510500000,240.000000000000000
,210,634025.727316665000000,4332015.031022510500000,210.000000000000000
,180,634055.727316665000000,4332015.031022510500000,180.000000000000000
,150,634085.727316665000000,4332015.031022510500000,150.000000000000000
,120,634115.727316665000000,4332015.031022510500000,120.000000000000000
