OBJECTID,weimer_dis7,X,Y,weimer_aspect
1,313,633930.000000000000000,4332120.000000000000000,33.690067291259766
2,285,633960.000000000000000,4332120.000000000000000,56.309932708740234
3,256,633990.000000000000000,4332120.000000000000000,37.874984741210938
4,228,634020.000000000000000,4332120.000000000000000,329.036254882812500
5,201,634050.000000000000000,4332120.000000000000000,315.000000000000000
6,175,634080.000000000000000,4332120.000000000000000,324.462310791015620
7,150,634110.000000000000000,4332120.000000000000000,0.000000000000000
8,127,634140.000000000000000,4332120.000000000000000,0.000000000000000
9,108,634170.000000000000000,4332120.000000000000000,0.000000000000000
10,95,634200.000000000000000,4332120.000000000000000,0.000000000000000
11,90,634230.000000000000000,4332120.000000000000000,0.000000000000000
12,90,634260.000000000000000,4332120.000000000000000,0.000000000000000
13,95,634290.000000000000000,4332120.000000000000000,0.000000000000000
14,108,634320.000000000000000,4332120.000000000000000,0.000000000000000
15,127,634350.000000000000000,4332120.000000000000000,0.000000000000000
16,150,634380.000000000000000,4332120.000000000000000,0.000000000000000
17,162,634410.000000000000000,4332120.000000000000000,0.000000000000000
18,175,634440.000000000000000,4332120.000000000000000,0.000000000000000
19,192,634470.000000000000000,4332120.000000000000000,0.000000000000000
20,212,634500.000000000000000,4332120.000000000000000,0.000000000000000
21,234,634530.000000000000000,4332120.000000000000000,0.000000000000000
22,255,634560.000000000000000,4332120.000000000000000,0.000000000000000
23,277,634590.000000000000000,4332120.000000000000000,0.000000000000000
24,297,634620.000000000000000,4332120.000000000000000,0.000000000000000
25,319,634650.000000000000000,4332120.000000000000000,0.000000000000000
26,339,634680.000000000000000,4332120.000000000000000,0.000000000000000
27,361,634710.000000000000000,4332120.000000000000000,0.000000000000000
28,379,634740.000000000000000,4332120.000000000000000,0.000000000000000
29,390,634770.000000000000000,4332120.000000000000000,0.000000000000000
30,402,634800.000000000000000,4332120.000000000000000,0.000000000000000
31,417,634830.000000000000000,4332120.000000000000000,0.000000000000000
32,433,634860.000000000000000,4332120.000000000000000,0.000000000000000
33,450,634890.000000000000000,4332120.000000000000000,0.000000000000000
34,469,634920.000000000000000,4332120.000000000000000,0.000000000000000
35,488,634950.000000000000000,4332120.000000000000000,0.000000000000000
36,509,634980.000000000000000,4332120.000000000000000,0.000000000000000
37,514,635010.000000000000000,4332120.000000000000000,0.000000000000000
38,511,635040.000000000000000,4332120.000000000000000,0.000000000000000
39,510,635070.000000000000000,4332120.000000000000000,0.000000000000000
40,511,635100.000000000000000,4332120.000000000000000,0.000000000000000
41,514,635130.000000000000000,4332120.000000000000000,0.000000000000000
42,518,635160.000000000000000,4332120.000000000000000,0.000000000000000
43,524,635190.000000000000000,4332120.000000000000000,0.000000000000000
44,532,635220.000000000000000,4332120.000000000000000,0.000000000000000
45,541,635250.000000000000000,4332120.000000000000000,0.000000000000000
46,552,635280.000000000000000,4332120.000000000000000,0.000000000000000
47,564,635310.000000000000000,4332120.000000000000000,0.000000000000000
48,577,635340.000000000000000,4332120.000000000000000,0.000000000000000
49,591,635370.000000000000000,4332120.000000000000000,0.000000000000000
50,604,635400.000000000000000,4332120.000000000000000,0.000000000000000
51,618,635430.000000000000000,4332120.000000000000000,0.000000000000000
52,633,635460.000000000000000,4332120.000000000000000,0.000000000000000
53,649,635490.000000000000000,4332120.000000000000000,0.000000000000000
54,666,635520.000000000000000,4332120.000000000000000,0.000000000000000
55,684,635550.000000000000000,4332120.000000000000000,0.000000000000000
56,700,635580.000000000000000,4332120.000000000000000,0.000000000000000
57,716,635610.000000000000000,4332120.000000000000000,0.000000000000000
58,732,635640.000000000000000,4332120.000000000000000,0.000000000000000
59,750,635670.000000000000000,4332120.000000000000000,0.000000000000000
