OBJECTID,weimer_dis7,X,Y,srtm_weimer_clip_ProjectRast11
1,313,633930.000000000000000,4332120.000000000000000,944.000000000000000
2,285,633960.000000000000000,4332120.000000000000000,943.000000000000000
3,256,633990.000000000000000,4332120.000000000000000,941.000000000000000
4,228,634020.000000000000000,4332120.000000000000000,941.000000000000000
5,201,634050.000000000000000,4332120.000000000000000,942.000000000000000
6,175,634080.000000000000000,4332120.000000000000000,944.000000000000000
7,150,634110.000000000000000,4332120.000000000000000,0.000000000000000
8,127,634140.000000000000000,4332120.000000000000000,0.000000000000000
9,108,634170.000000000000000,4332120.000000000000000,0.000000000000000
10,95,634200.000000000000000,4332120.000000000000000,0.000000000000000
11,90,634230.000000000000000,4332120.000000000000000,0.000000000000000
12,90,634260.000000000000000,4332120.000000000000000,0.000000000000000
13,95,634290.000000000000000,4332120.000000000000000,0.000000000000000
14,108,634320.000000000000000,4332120.000000000000000,0.000000000000000
15,127,634350.000000000000000,4332120.000000000000000,0.000000000000000
16,150,634380.000000000000000,4332120.000000000000000,0.000000000000000
17,162,634410.000000000000000,4332120.000000000000000,0.000000000000000
18,175,634440.000000000000000,4332120.000000000000000,0.000000000000000
19,192,634470.000000000000000,4332120.000000000000000,0.000000000000000
20,212,634500.000000000000000,4332120.000000000000000,0.000000000000000
21,234,634530.000000000000000,4332120.000000000000000,0.000000000000000
22,255,634560.000000000000000,4332120.000000000000000,0.000000000000000
23,277,634590.000000000000000,4332120.000000000000000,0.000000000000000
24,297,634620.000000000000000,4332120.000000000000000,0.000000000000000
25,319,634650.000000000000000,4332120.000000000000000,0.000000000000000
26,339,634680.000000000000000,4332120.000000000000000,0.000000000000000
27,361,634710.000000000000000,4332120.000000000000000,0.000000000000000
28,379,634740.000000000000000,4332120.000000000000000,0.000000000000000
29,390,634770.000000000000000,4332120.000000000000000,0.000000000000000
30,402,634800.000000000000000,4332120.000000000000000,0.000000000000000
31,417,634830.000000000000000,4332120.000000000000000,0.000000000000000
32,433,634860.000000000000000,4332120.000000000000000,0.000000000000000
33,450,634890.000000000000000,4332120.000000000000000,0.000000000000000
34,469,634920.000000000000000,4332120.000000000000000,0.000000000000000
35,488,634950.000000000000000,4332120.000000000000000,0.000000000000000
36,509,634980.000000000000000,4332120.000000000000000,0.000000000000000
37,514,635010.000000000000000,4332120.000000000000000,0.000000000000000
38,511,635040.000000000000000,4332120.000000000000000,0.000000000000000
39,510,635070.000000000000000,4332120.000000000000000,0.000000000000000
40,511,635100.000000000000000,4332120.000000000000000,0.000000000000000
41,514,635130.000000000000000,4332120.000000000000000,0.000000000000000
42,518,635160.000000000000000,4332120.000000000000000,0.000000000000000
43,524,635190.000000000000000,4332120.000000000000000,0.000000000000000
44,532,635220.000000000000000,4332120.000000000000000,0.000000000000000
45,541,635250.000000000000000,4332120.000000000000000,0.000000000000000
46,552,635280.000000000000000,4332120.000000000000000,0.000000000000000
47,564,635310.000000000000000,4332120.000000000000000,0.000000000000000
48,577,635340.000000000000000,4332120.000000000000000,0.000000000000000
49,591,635370.000000000000000,4332120.000000000000000,0.000000000000000
50,604,635400.000000000000000,4332120.000000000000000,0.000000000000000
51,618,635430.000000000000000,4332120.000000000000000,0.000000000000000
52,633,635460.000000000000000,4332120.000000000000000,0.000000000000000
53,649,635490.000000000000000,4332120.000000000000000,0.000000000000000
54,666,635520.000000000000000,4332120.000000000000000,0.000000000000000
55,684,635550.000000000000000,4332120.000000000000000,0.000000000000000
56,700,635580.000000000000000,4332120.000000000000000,0.000000000000000
57,716,635610.000000000000000,4332120.000000000000000,0.000000000000000
58,732,635640.000000000000000,4332120.000000000000000,0.000000000000000
59,750,635670.000000000000000,4332120.000000000000000,0.000000000000000
60,765,635700.000000000000000,4332120.000000000000000,0.000000000000000
61,778,635730.000000000000000,4332120.000000000000000,0.000000000000000
62,793,635760.000000000000000,4332120.000000000000000,0.000000000000000
63,808,635790.000000000000000,4332120.000000000000000,0.000000000000000
64,824,635820.000000000000000,4332120.000000000000000,0.000000000000000
65,841,635850.000000000000000,4332120.000000000000000,0.000000000000000
66,858,635880.000000000000000,4332120.000000000000000,0.000000000000000
67,876,635910.000000000000000,4332120.000000000000000,0.000000000000000
68,895,635940.000000000000000,4332120.000000000000000,0.000000000000000
69,914,635970.000000000000000,4332120.000000000000000,0.000000000000000
70,934,636000.000000000000000,4332120.000000000000000,0.000000000000000
71,955,636030.000000000000000,4332120.000000000000000,0.000000000000000
72,976,636060.000000000000000,4332120.000000000000000,0.000000000000000
73,997,636090.000000000000000,4332120.000000000000000,0.000000000000000
74,1018,636120.000000000000000,4332120.000000000000000,0.000000000000000
75,1040,636150.000000000000000,4332120.000000000000000,0.000000000000000
76,1061,636180.000000000000000,4332120.000000000000000,0.000000000000000
77,1082,636210.000000000000000,4332120.000000000000000,0.000000000000000
78,1103,636240.000000000000000,4332120.000000000000000,0.000000000000000
79,1124,636270.000000000000000,4332120.000000000000000,0.000000000000000
80,1146,636300.000000000000000,4332120.000000000000000,0.000000000000000
81,1167,636330.000000000000000,4332120.000000000000000,0.000000000000000
82,1189,636360.000000000000000,4332120.000000000000000,0.000000000000000
83,306,633930.000000000000000,4332090.000000000000000,945.000000000000000
84,277,633960.000000000000000,4332090.000000000000000,944.000000000000000
85,247,633990.000000000000000,4332090.000000000000000,942.000000000000000
86,218,634020.000000000000000,4332090.000000000000000,943.000000000000000
87,190,634050.000000000000000,4332090.000000000000000,944.000000000000000
88,162,634080.000000000000000,4332090.000000000000000,946.000000000000000
89,134,634110.000000000000000,4332090.000000000000000,948.000000000000000
90,108,634140.000000000000000,4332090.000000000000000,0.000000000000000
91,85,634170.000000000000000,4332090.000000000000000,0.000000000000000
92,67,634200.000000000000000,4332090.000000000000000,0.000000000000000
93,60,634230.000000000000000,4332090.000000000000000,0.000000000000000
94,60,634260.000000000000000,4332090.000000000000000,0.000000000000000
95,67,634290.000000000000000,4332090.000000000000000,0.000000000000000
96,85,634320.000000000000000,4332090.000000000000000,0.000000000000000
97,108,634350.000000000000000,4332090.000000000000000,0.000000000000000
98,124,634380.000000000000000,4332090.000000000000000,0.000000000000000
99,134,634410.000000000000000,4332090.000000000000000,0.000000000000000
100,150,634440.000000000000000,4332090.000000000000000,978.000000000000000
101,170,634470.000000000000000,4332090.000000000000000,979.000000000000000
102,192,634500.000000000000000,4332090.000000000000000,980.000000000000000
103,212,634530.000000000000000,4332090.000000000000000,0.000000000000000
104,234,634560.000000000000000,4332090.000000000000000,0.000000000000000
105,255,634590.000000000000000,4332090.000000000000000,0.000000000000000
106,277,634620.000000000000000,4332090.000000000000000,0.000000000000000
107,297,634650.000000000000000,4332090.000000000000000,0.000000000000000
108,319,634680.000000000000000,4332090.000000000000000,0.000000000000000
109,342,634710.000000000000000,4332090.000000000000000,0.000000000000000
110,351,634740.000000000000000,4332090.000000000000000,0.000000000000000
111,362,634770.000000000000000,4332090.000000000000000,0.000000000000000
112,376,634800.000000000000000,4332090.000000000000000,0.000000000000000
113,391,634830.000000000000000,4332090.000000000000000,0.000000000000000
114,408,634860.000000000000000,4332090.000000000000000,0.000000000000000
115,426,634890.000000000000000,4332090.000000000000000,0.000000000000000
116,446,634920.000000000000000,4332090.000000000000000,0.000000000000000
117,467,634950.000000000000000,4332090.000000000000000,0.000000000000000
118,488,634980.000000000000000,4332090.000000000000000,0.000000000000000
119,484,635010.000000000000000,4332090.000000000000000,0.000000000000000
120,481,635040.000000000000000,4332090.000000000000000,0.000000000000000
121,480,635070.000000000000000,4332090.000000000000000,0.000000000000000
122,481,635100.000000000000000,4332090.000000000000000,0.000000000000000
123,484,635130.000000000000000,4332090.000000000000000,0.000000000000000
124,488,635160.000000000000000,4332090.000000000000000,0.000000000000000
125,495,635190.000000000000000,4332090.000000000000000,0.000000000000000
126,503,635220.000000000000000,4332090.000000000000000,0.000000000000000
127,513,635250.000000000000000,4332090.000000000000000,0.000000000000000
128,524,635280.000000000000000,4332090.000000000000000,0.000000000000000
129,537,635310.000000000000000,4332090.000000000000000,0.000000000000000
130,551,635340.000000000000000,4332090.000000000000000,0.000000000000000
