OBJECTID,Rowid_,SAVI_1986083_CLI,X,Y,SAVI_1986083_C_1,RASTERVALU
1,,0,633930.000000000000000,4332120.000000000000000,0.158203437924385,1
2,,0,633960.000000000000000,4332120.000000000000000,0.150321289896965,1
3,,0,633990.000000000000000,4332120.000000000000000,0.165994122624397,1
4,,0,634020.000000000000000,4332120.000000000000000,0.182019308209419,1
5,,0,634050.000000000000000,4332120.000000000000000,0.182717770338058,1
6,,0,634080.000000000000000,4332120.000000000000000,0.186017826199532,1
7,,0,633930.000000000000000,4332090.000000000000000,0.218777835369110,2
8,,0,633960.000000000000000,4332090.000000000000000,0.219109952449799,2
9,,0,633990.000000000000000,4332090.000000000000000,0.226537853479385,2
10,,0,634020.000000000000000,4332090.000000000000000,0.212901890277863,1
11,,0,634050.000000000000000,4332090.000000000000000,0.186641782522202,1
12,,0,634080.000000000000000,4332090.000000000000000,0.192469552159309,1
13,,0,633930.000000000000000,4332060.000000000000000,0.198451384902000,1
14,,0,633960.000000000000000,4332060.000000000000000,0.212516725063324,1
15,,0,633990.000000000000000,4332060.000000000000000,0.205973803997040,1
16,,0,634020.000000000000000,4332060.000000000000000,0.212124377489090,1
17,,0,634050.000000000000000,4332060.000000000000000,0.204115554690361,1
18,,0,634080.000000000000000,4332060.000000000000000,0.176767408847809,1
19,,0,634410.000000000000000,4332060.000000000000000,0.226281389594078,2
20,,0,634440.000000000000000,4332060.000000000000000,0.205973803997040,1
21,,0,634470.000000000000000,4332060.000000000000000,0.199981495738029,1
22,,0,634500.000000000000000,4332060.000000000000000,0.214374572038651,1
23,,0,634530.000000000000000,4332060.000000000000000,0.206852599978447,1
24,,0,634560.000000000000000,4332060.000000000000000,0.219756111502647,2
25,,0,634590.000000000000000,4332060.000000000000000,0.212901890277863,1
26,,0,634620.000000000000000,4332060.000000000000000,0.198970794677734,1
27,,0,634650.000000000000000,4332060.000000000000000,0.177499353885651,1
28,,0,634680.000000000000000,4332060.000000000000000,0.170183897018433,1
29,,0,634710.000000000000000,4332060.000000000000000,0.177499353885651,1
30,,0,634740.000000000000000,4332060.000000000000000,0.191891565918922,1
31,,0,634770.000000000000000,4332060.000000000000000,0.198970794677734,1
32,,0,633930.000000000000000,4332030.000000000000000,0.182019308209419,1
33,,0,633960.000000000000000,4332030.000000000000000,0.197382658720016,1
34,,0,633990.000000000000000,4332030.000000000000000,0.211724668741226,1
35,,0,634020.000000000000000,4332030.000000000000000,0.204593315720558,1
36,,0,634050.000000000000000,4332030.000000000000000,0.218094483017921,2
37,,0,634080.000000000000000,4332030.000000000000000,0.189467951655388,1
38,,0,634110.000000000000000,4332030.000000000000000,0.188832551240921,1
39,,0,634140.000000000000000,4332030.000000000000000,0.211724668741226,1
40,,0,634170.000000000000000,4332030.000000000000000,0.224925577640533,2
41,,0,634200.000000000000000,4332030.000000000000000,0.210478961467743,1
42,,0,634230.000000000000000,4332030.000000000000000,0.211317270994186,1
43,,0,634260.000000000000000,4332030.000000000000000,0.225207075476646,2
44,,0,634380.000000000000000,4332030.000000000000000,0.246310725808144,2
45,,0,634410.000000000000000,4332030.000000000000000,0.205522269010544,1
46,,0,634440.000000000000000,4332030.000000000000000,0.198451384902000,1
47,,0,634470.000000000000000,4332030.000000000000000,0.198451384902000,1
48,,0,634500.000000000000000,4332030.000000000000000,0.200473144650459,1
49,,0,634530.000000000000000,4332030.000000000000000,0.205973803997040,1
50,,0,634560.000000000000000,4332030.000000000000000,0.183402970433235,1
51,,0,634590.000000000000000,4332030.000000000000000,0.197922021150589,1
52,,0,634620.000000000000000,4332030.000000000000000,0.205522269010544,1
53,,0,634650.000000000000000,4332030.000000000000000,0.184075206518173,1
54,,0,634680.000000000000000,4332030.000000000000000,0.191302731633186,1
55,,0,634710.000000000000000,4332030.000000000000000,0.184734821319580,1
56,,0,634740.000000000000000,4332030.000000000000000,0.191891565918922,1
57,,0,634770.000000000000000,4332030.000000000000000,0.212516725063324,1
58,,0,634800.000000000000000,4332030.000000000000000,0.198970794677734,1
59,,0,634830.000000000000000,4332030.000000000000000,0.197922021150589,1
60,,0,634860.000000000000000,4332030.000000000000000,0.226020231842995,2
61,,0,633930.000000000000000,4332000.000000000000000,0.180580854415894,1
62,,0,633960.000000000000000,4332000.000000000000000,0.180580854415894,1
63,,0,633990.000000000000000,4332000.000000000000000,0.182019308209419,1
64,,0,634020.000000000000000,4332000.000000000000000,0.173694849014282,1
65,,0,634050.000000000000000,4332000.000000000000000,0.195118546485901,1
66,,0,634080.000000000000000,4332000.000000000000000,0.195701211690903,1
67,,0,634110.000000000000000,4332000.000000000000000,0.195701211690903,1
68,,0,634140.000000000000000,4332000.000000000000000,0.204593315720558,1
69,,0,634170.000000000000000,4332000.000000000000000,0.219109952449799,2
70,,0,634200.000000000000000,4332000.000000000000000,0.219109952449799,2
71,,0,634230.000000000000000,4332000.000000000000000,0.205522269010544,1
