Rowid_,WEIMER_DIS7,X,Y,WEIMER_DIS7_1
,95,634140.000000000000000,4332060.000000000000000,94.868331909179688
,67,634170.000000000000000,4332060.000000000000000,67.082038879394531
,42,634200.000000000000000,4332060.000000000000000,42.426406860351562
,30,634230.000000000000000,4332060.000000000000000,30.000000000000000
,30,634260.000000000000000,4332060.000000000000000,30.000000000000000
,42,634290.000000000000000,4332060.000000000000000,42.426406860351562
,67,634320.000000000000000,4332060.000000000000000,67.082038879394531
,90,634350.000000000000000,4332060.000000000000000,90.000000000000000
,95,634380.000000000000000,4332060.000000000000000,94.868331909179688
,108,634410.000000000000000,4332060.000000000000000,108.166542053222660
,127,634440.000000000000000,4332060.000000000000000,127.279220581054690
,150,634470.000000000000000,4332060.000000000000000,150.000000000000000
,170,634500.000000000000000,4332060.000000000000000,169.705627441406250
,192,634530.000000000000000,4332060.000000000000000,192.093734741210940
,212,634560.000000000000000,4332060.000000000000000,212.132034301757810
,234,634590.000000000000000,4332060.000000000000000,234.307495117187500
,255,634620.000000000000000,4332060.000000000000000,254.558441162109370
,277,634650.000000000000000,4332060.000000000000000,276.586334228515630
,300,634680.000000000000000,4332060.000000000000000,300.000000000000000
,313,634710.000000000000000,4332060.000000000000000,313.209197998046870
,323,634740.000000000000000,4332060.000000000000000,323.109893798828120
,335,634770.000000000000000,4332060.000000000000000,335.410186767578120
,350,634800.000000000000000,4332060.000000000000000,349.857116699218750
,366,634830.000000000000000,4332060.000000000000000,366.196655273437500
,384,634860.000000000000000,4332060.000000000000000,384.187469482421870
,404,634890.000000000000000,4332060.000000000000000,403.608734130859370
,424,634920.000000000000000,4332060.000000000000000,424.264068603515620
,446,634950.000000000000000,4332060.000000000000000,445.982055664062500
,459,634980.000000000000000,4332060.000000000000000,458.911743164062500
,454,635010.000000000000000,4332060.000000000000000,453.982391357421870
,451,635040.000000000000000,4332060.000000000000000,450.998901367187500
,450,635070.000000000000000,4332060.000000000000000,450.000000000000000
,451,635100.000000000000000,4332060.000000000000000,450.998901367187500
,454,635130.000000000000000,4332060.000000000000000,453.982391357421870
,459,635160.000000000000000,4332060.000000000000000,458.911743164062500
,466,635190.000000000000000,4332060.000000000000000,465.725250244140620
,474,635220.000000000000000,4332060.000000000000000,474.341644287109370
