OBJECTID,Field1,x,y,green,wet,year_,gw,RASTERVALU
1,1,633930,4332120,-0.042945288121700,-0.058400429785252,2011,-0.101345717906952,2
2,2,633960,4332120,-0.051499299705029,-0.079150669276714,2011,-0.130649968981743,1
3,3,633990,4332120,-0.055747009813786,-0.070566788315773,2011,-0.126313798129559,1
4,4,634020,4332120,-0.065033055841923,-0.036135114729404,2011,-0.101168170571327,2
5,5,634050,4332120,-0.084124140441418,-0.075782828032970,2011,-0.159906968474388,1
6,6,634080,4332120,-0.058655686676502,-0.130617767572403,2011,-0.189273454248905,1
7,7,633930,4332090,-0.024564990773797,-0.105123519897461,2011,-0.129688510671258,1
8,8,633960,4332090,-0.027313012629747,-0.109094582498074,2011,-0.136407595127821,1
9,9,633990,4332090,-0.040832199156284,-0.128672301769257,2011,-0.169504500925541,1
10,10,634020,4332090,-0.066061802208424,-0.131658613681793,2011,-0.197720415890217,1
11,11,634050,4332090,-0.080621391534805,-0.135362401604652,2011,-0.215983793139457,1
12,12,634080,4332090,-0.054464295506477,-0.111617520451546,2011,-0.166081815958023,1
13,13,633930,4332060,-0.019758945330977,-0.094142332673073,2011,-0.113901278004050,2
14,14,633960,4332060,-0.029045280069113,-0.109524749219418,2011,-0.138570029288531,1
15,15,633990,4332060,-0.032999426126480,-0.124964192509651,2011,-0.157963618636131,1
16,16,634020,4332060,-0.036823261529207,-0.134987458586693,2011,-0.171810720115900,1
17,17,634050,4332060,-0.031250730156898,-0.123298324644566,2011,-0.154549054801464,1
18,18,634080,4332060,-0.032418634742498,-0.110697038471699,2011,-0.143115673214197,1
19,19,634410,4332060,-0.024185702204704,-0.117111161351204,2011,-0.141296863555908,1
20,20,634440,4332060,-0.028671016916633,-0.116796068847179,2011,-0.145467085763812,1
21,21,634470,4332060,-0.035612646490335,-0.124936774373055,2011,-0.160549420863390,1
22,22,634500,4332060,-0.029408726841211,-0.133740127086639,2011,-0.163148853927850,1
23,23,634530,4332060,-0.032328467816114,-0.128942683339119,2011,-0.161271151155233,1
24,24,634560,4332060,-0.031217180192471,-0.120715335011482,2011,-0.151932515203953,1
25,25,634590,4332060,-0.031860306859016,-0.110882930457592,2011,-0.142743237316608,1
26,26,634620,4332060,-0.026567377150059,-0.110252045094967,2011,-0.136819422245026,1
27,27,634650,4332060,-0.036182358860970,-0.119542822241783,2011,-0.155725181102753,1
28,28,634680,4332060,-0.043827235698700,-0.119028583168983,2011,-0.162855818867683,1
29,29,634710,4332060,-0.043162003159523,-0.119736120104790,2011,-0.162898123264313,1
30,30,634740,4332060,-0.030784092843533,-0.100122720003128,2011,-0.130906812846661,1
31,31,634770,4332060,-0.025807555764914,-0.095343217253685,2011,-0.121150773018599,1
32,32,633930,4332030,-0.022201046347618,-0.064925290644169,2011,-0.087126336991787,2
33,33,633960,4332030,-0.024111689999700,-0.074998185038567,2011,-0.099109875038267,2
34,34,633990,4332030,-0.019904768094420,-0.077778264880180,2011,-0.097683032974600,2
35,35,634020,4332030,-0.021985607221723,-0.084198504686356,2011,-0.106184111908079,2
36,36,634050,4332030,-0.023355040699244,-0.085358135402203,2011,-0.108713176101447,2
37,37,634080,4332030,-0.016682624816895,-0.071393713355064,2011,-0.088076338171959,2
38,38,634110,4332030,-0.024431198835373,-0.077701188623905,2011,-0.102132387459278,2
39,39,634140,4332030,-0.017550921067595,-0.079331219196320,2011,-0.096882140263915,2
40,40,634170,4332030,-0.005787364207208,-0.066121511161327,2011,-0.071908875368535,2
41,41,634200,4332030,0.006051111035049,-0.062466107308865,2011,-0.056414996273816,2
42,42,634230,4332030,0.007611259818077,-0.067801743745804,2011,-0.060190483927727,2
43,43,634260,4332030,0.001207061111927,-0.076659969985485,2011,-0.075452908873558,2
44,44,634380,4332030,-0.013817546889186,-0.111322835087776,2011,-0.125140381976962,1
45,45,634410,4332030,-0.013864364475012,-0.108289942145348,2011,-0.122154306620360,1
46,46,634440,4332030,-0.022444620728493,-0.111766524612904,2011,-0.134211145341397,1
47,47,634470,4332030,-0.020766761153936,-0.115784771740437,2011,-0.136551532894373,1
48,48,634500,4332030,-0.020329274237156,-0.124139681458473,2011,-0.144468955695629,1
49,49,634530,4332030,-0.028502732515335,-0.119327254593372,2011,-0.147829987108707,1
50,50,634560,4332030,-0.029556762427092,-0.102545469999313,2011,-0.132102232426405,1
51,51,634590,4332030,-0.035859707742929,-0.109988190233707,2011,-0.145847897976636,1
52,52,634620,4332030,-0.037232920527458,-0.120778605341911,2011,-0.158011525869369,1
53,53,634650,4332030,-0.034884810447693,-0.119060620665550,2011,-0.153945431113243,1
54,54,634680,4332030,-0.033483743667603,-0.113576360046864,2011,-0.147060103714467,1
55,55,634710,4332030,-0.030029367655516,-0.110074825584888,2011,-0.140104193240404,1
