OBJECTID,Field1,x,y,green,wet,year_,gw,RASTERVALU
56,56,634740,4332030,-0.026080250740051,-0.101079151034355,2011,-0.127159401774406,1
57,57,634770,4332030,-0.013186123222113,-0.102238066494465,2011,-0.115424189716578,1
58,58,634800,4332030,-0.014057004824281,-0.100053027272224,2011,-0.114110032096505,2
59,59,634830,4332030,-0.013079850003123,-0.094378791749477,2011,-0.107458641752600,2
60,60,634860,4332030,-0.009795674122870,-0.098384693264961,2011,-0.108180367387831,2
61,61,633930,4332000,-0.028619766235352,-0.075427062809467,2011,-0.104046829044819,2
62,62,633960,4332000,-0.028089590370655,-0.067757777869701,2011,-0.095847368240356,2
63,63,633990,4332000,-0.023228170350194,-0.074418216943741,2011,-0.097646387293935,2
64,64,634020,4332000,-0.020166356116533,-0.064473219215870,2011,-0.084639575332403,2
65,65,634050,4332000,-0.022397462278605,-0.055159099400043,2011,-0.077556561678648,2
66,66,634080,4332000,-0.016981530934572,-0.059855982661247,2011,-0.076837513595819,2
67,67,634110,4332000,-0.026578161865473,-0.069652676582336,2011,-0.096230838447809,2
68,68,634140,4332000,-0.020045235753059,-0.079839609563351,2011,-0.099884845316410,2
69,69,634170,4332000,0.000459548085928,-0.075094670057297,2011,-0.074635121971369,2
70,70,634200,4332000,0.002639733254910,-0.066137455403805,2011,-0.063497722148895,2
71,71,634230,4332000,0.006064372137189,-0.068081997334957,2011,-0.062017625197768,2
72,72,634260,4332000,0.002045635133982,-0.074168540537357,2011,-0.072122905403375,2
73,73,634290,4332000,-0.006014861166477,-0.086857810616493,2011,-0.092872671782970,2
74,74,634320,4332000,-0.012272886000574,-0.096211984753609,2011,-0.108484870754183,2
75,75,634350,4332000,-0.013464521616697,-0.104703053832054,2011,-0.118167575448751,1
76,76,634380,4332000,-0.006903758272529,-0.109036058187485,2011,-0.115939816460014,1
77,77,634410,4332000,-0.008745443075895,-0.113017007708550,2011,-0.121762450784445,1
78,78,634440,4332000,-0.016901802271605,-0.105523511767387,2011,-0.122425314038992,1
79,79,634470,4332000,-0.021325748413801,-0.107217967510223,2011,-0.128543715924024,1
80,80,634500,4332000,-0.020740181207657,-0.117190308868885,2011,-0.137930490076542,1
81,81,634530,4332000,-0.023011747747660,-0.116495095193386,2011,-0.139506842941046,1
82,82,634560,4332000,-0.031736936420202,-0.111502669751644,2011,-0.143239606171846,1
83,83,634590,4332000,-0.043193586170673,-0.124774366617203,2011,-0.167967952787876,1
84,84,634620,4332000,-0.038913924247026,-0.123611971735954,2011,-0.162525895982980,1
85,85,634650,4332000,-0.035441208630800,-0.120616354048252,2011,-0.156057562679052,1
86,86,634680,4332000,-0.031591121107340,-0.127866759896278,2011,-0.159457881003618,1
87,87,634710,4332000,-0.026813853532076,-0.133261620998383,2011,-0.160075474530459,1
88,88,634740,4332000,-0.024633660912514,-0.124304398894310,2011,-0.148938059806824,1
89,89,634770,4332000,-0.009828884154558,-0.115390419960022,2011,-0.125219304114580,1
90,90,634800,4332000,-0.008375976234674,-0.106495298445225,2011,-0.114871274679899,1
91,91,634830,4332000,-0.010180344805121,-0.108708932995796,2011,-0.118889277800917,1
92,92,634860,4332000,-0.007430444471538,-0.105145707726479,2011,-0.112576152198017,2
93,93,634890,4332000,-0.010167349129915,-0.090789437294006,2011,-0.100956786423921,2
94,94,633930,4331970,-0.038540951907635,-0.094370529055595,2011,-0.132911480963230,1
95,95,633960,4331970,-0.035994783043861,-0.090451277792454,2011,-0.126446060836315,1
96,96,633990,4331970,-0.030625309795141,-0.087407201528549,2011,-0.118032511323690,1
97,97,634020,4331970,-0.022077351808548,-0.079254142940044,2011,-0.101331494748592,2
98,98,634050,4331970,-0.013570466078818,-0.052921958267689,2011,-0.066492424346507,2
99,99,634080,4331970,-0.019494187086821,-0.059858448803425,2011,-0.079352635890246,2
100,100,634110,4331970,-0.019356243312359,-0.059454806149006,2011,-0.078811049461365,2
101,101,634140,4331970,-0.009439504705369,-0.084913276135921,2011,-0.094352780841290,2
102,102,634170,4331970,-0.008811257779598,-0.112257361412048,2011,-0.121068619191646,1
103,103,634200,4331970,-0.015990780666471,-0.084666863083839,2011,-0.100657643750310,2
104,104,634230,4331970,-0.013960872776806,-0.059975273907185,2011,-0.073936146683991,2
105,105,634260,4331970,0.001595512032509,-0.067865006625652,2011,-0.066269494593143,2
106,106,634290,4331970,0.001332321204245,-0.077687524259090,2011,-0.076355203054845,2
107,107,634320,4331970,-0.000823186710477,-0.087642416357994,2011,-0.088465603068471,2
108,108,634350,4331970,-0.000699792057276,-0.088262155652046,2011,-0.088961947709322,2
109,109,634380,4331970,-0.003731880337000,-0.092761076986790,2011,-0.096492957323790,2
110,110,634410,4331970,0.005054000765085,-0.090761959552765,2011,-0.085707958787680,2
111,111,634440,4331970,0.003307210281491,-0.092835679650307,2011,-0.089528469368816,2
112,112,634470,4331970,-0.005988616496325,-0.104131475090981,2011,-0.110120091587306,2
113,113,634500,4331970,-0.011197971180081,-0.111841998994350,2011,-0.123039970174431,1
114,114,634530,4331970,-0.017292469739914,-0.099487870931625,2011,-0.116780340671539,1
115,115,634560,4331970,-0.025444731116295,-0.107232779264450,2011,-0.132677510380745,1
116,116,634590,4331970,-0.036608126014471,-0.130105093121529,2011,-0.166713219136000,1
117,117,634620,4331970,-0.032307900488377,-0.144279196858406,2011,-0.176587097346783,1
118,118,634650,4331970,-0.028842145577073,-0.145985722541809,2011,-0.174827868118882,1
119,119,634680,4331970,-0.023682758212090,-0.142093867063522,2011,-0.165776625275612,1
120,120,634710,4331970,-0.007936281152070,-0.129680812358856,2011,-0.137617093510926,1
121,121,634740,4331970,-0.010341031476855,-0.109856516122818,2011,-0.120197547599673,1
122,122,634770,4331970,-0.011910048313439,-0.108101561665535,2011,-0.120011609978974,1
123,123,634800,4331970,-0.006316950544715,-0.111748948693275,2011,-0.118065899237990,1
124,124,634830,4331970,-0.007064467296004,-0.110183641314507,2011,-0.117248108610511,1
125,125,634860,4331970,-0.008510095998645,-0.109048411250114,2011,-0.117558507248759,1
126,126,634890,4331970,-0.018710283562541,-0.092498719692230,2011,-0.111209003254771,2
127,127,633930,4331940,-0.038130030035973,-0.101319909095764,2011,-0.139449939131737,1
128,128,633960,4331940,-0.034948363900185,-0.103554293513298,2011,-0.138502657413483,1
129,129,633990,4331940,-0.032775767147541,-0.090918309986591,2011,-0.123694077134132,1
130,130,634020,4331940,-0.018027622252703,-0.071622155606747,2011,-0.089649777859450,2
131,131,634050,4331940,-0.011143594980240,-0.063621379435062,2011,-0.074764974415302,2
132,132,634080,4331940,-0.006671569310129,-0.056986764073372,2011,-0.063658333383501,2
133,133,634110,4331940,-0.008621756918728,-0.053996391594410,2011,-0.062618148513138,2
134,134,634140,4331940,-0.013656228780746,-0.063623845577240,2011,-0.077280074357986,2
135,135,634170,4331940,-0.015442853793502,-0.039545342326164,2011,-0.054988196119666,2
136,136,634200,4331940,-0.027656521648169,-0.036005057394505,2011,-0.063661579042674,2
137,137,634230,4331940,-0.018267422914505,-0.035483129322529,2011,-0.053750552237034,2
138,138,634260,4331940,0.012977519072592,-0.057414315640926,2011,-0.044436796568334,2
139,139,634290,4331940,0.005196640267968,-0.059045352041721,2011,-0.053848711773753,2
140,140,634320,4331940,-0.003910278901458,-0.058631591498852,2011,-0.062541870400310,2
141,141,634350,4331940,0.001692987047136,-0.076080314815044,2011,-0.074387327767908,2
142,142,634380,4331940,-0.000703583471477,-0.086732864379883,2011,-0.087436447851360,2
143,143,634410,4331940,0.002492634579539,-0.087323687970638,2011,-0.084831053391099,2
144,144,634440,4331940,0.001629341393709,-0.088817432522774,2011,-0.087188091129065,2
145,145,634470,4331940,0.002061132341623,-0.094615012407303,2011,-0.092553880065680,2
146,146,634500,4331940,0.007335072383285,-0.096257403492928,2011,-0.088922331109643,2
147,147,634530,4331940,0.002952247858047,-0.097713835537434,2011,-0.094761587679387,2
148,148,634560,4331940,-0.014695383608341,-0.113839946687222,2011,-0.128535330295563,1
149,149,634590,4331940,-0.020497560501099,-0.132768601179123,2011,-0.153266161680222,1
150,150,634620,4331940,-0.016690501943231,-0.139135554432869,2011,-0.155826056376100,1
151,151,634650,4331940,-0.016489934176207,-0.134562939405441,2011,-0.151052873581648,1
152,152,634680,4331940,-0.010025032795966,-0.118713162839413,2011,-0.128738195635379,1
153,153,634710,4331940,-0.009934235364199,-0.101567506790161,2011,-0.111501742154360,2
154,154,634740,4331940,-0.014155414886773,-0.113519914448261,2011,-0.127675329335034,1
155,155,634770,4331940,-0.009833002462983,-0.100152008235455,2011,-0.109985010698438,2
156,156,634800,4331940,-0.011622823774815,-0.100722089409828,2011,-0.112344913184643,2
157,157,634830,4331940,-0.013531250879169,-0.125625580549240,2011,-0.139156831428409,1
158,158,634860,4331940,-0.015913575887680,-0.121545620262623,2011,-0.137459196150303,1
159,159,634890,4331940,-0.019647886976600,-0.111236199736595,2011,-0.130884086713195,1
160,160,634920,4331940,-0.017970040440559,-0.115254461765289,2011,-0.133224502205848,1
161,161,634950,4331940,-0.020613662898540,-0.110958404839039,2011,-0.131572067737579,1
162,162,633930,4331910,-0.036375649273396,-0.102925002574921,2011,-0.139300651848317,1
163,163,633960,4331910,-0.039771817624569,-0.103507444262505,2011,-0.143279261887074,1
164,164,633990,4331910,-0.033436916768551,-0.105449169874191,2011,-0.138886086642742,1
165,165,634020,4331910,-0.027791615575552,-0.100977689027786,2011,-0.128769304603338,1
166,166,634050,4331910,-0.003024560399354,-0.072882205247879,2011,-0.075906765647233,2
167,167,634080,4331910,-0.000074733048677,-0.067525535821915,2011,-0.067600268870592,2
168,168,634110,4331910,0.001995681785047,-0.077987253665924,2011,-0.075991571880877,2
169,169,634140,4331910,-0.007496559526771,-0.079516835510731,2011,-0.087013395037502,2
170,170,634170,4331910,-0.019763048738241,-0.067743845283985,2011,-0.087506894022226,2
171,171,634200,4331910,-0.017443031072617,-0.059504464268684,2011,-0.076947495341301,2
172,172,634230,4331910,-0.009058936499059,-0.059350602328777,2011,-0.068409538827836,2
173,173,634260,4331910,-0.010133181698620,-0.052101492881775,2011,-0.062234674580395,2
174,174,634290,4331910,-0.007321938872337,-0.038767557591200,2011,-0.046089496463537,2
175,175,634320,4331910,-0.014365131035447,-0.023454530164599,2011,-0.037819661200046,2
176,176,634350,4331910,-0.000949079170823,-0.047322891652584,2011,-0.048271970823407,2
177,177,634380,4331910,0.003516329452395,-0.071593433618546,2011,-0.068077104166151,2
178,178,634410,4331910,0.002201311290264,-0.079464741051197,2011,-0.077263429760933,2
179,179,634440,4331910,0.001865342259407,-0.082069635391235,2011,-0.080204293131828,2
180,180,634470,4331910,0.005212808959186,-0.089206546545029,2011,-0.083993737585843,2
181,181,634500,4331910,0.008881941437721,-0.095977149903774,2011,-0.087095208466053,2
182,182,634530,4331910,0.008304944261909,-0.111773610115051,2011,-0.103468665853142,2
183,183,634560,4331910,-0.000118384137750,-0.112573325634003,2011,-0.112691709771753,2
184,184,634590,4331910,-0.011215058155358,-0.114523082971573,2011,-0.125738141126931,1
185,185,634620,4331910,-0.009218061342835,-0.120546363294125,2011,-0.129764424636960,1
186,186,634650,4331910,-0.009782066568732,-0.118423320353031,2011,-0.128205386921763,1
187,187,634680,4331910,-0.011794272810221,-0.105042517185211,2011,-0.116836789995432,1
188,188,634710,4331910,-0.022168137133121,-0.107559897005558,2011,-0.129728034138679,1
189,189,634740,4331910,-0.022455362603068,-0.114939354360104,2011,-0.137394716963172,1
190,190,634770,4331910,-0.019160438328981,-0.115772418677807,2011,-0.134932857006788,1
191,191,634800,4331910,-0.021190661936998,-0.126754894852638,2011,-0.147945556789636,1
192,192,634830,4331910,-0.016662005335093,-0.141662523150444,2011,-0.158324528485537,1
193,193,634860,4331910,-0.015509909018874,-0.120108246803284,2011,-0.135618155822158,1
194,194,634890,4331910,-0.012847667559981,-0.126839071512222,2011,-0.139686739072203,1
195,195,634920,4331910,-0.016486434265971,-0.123003296554089,2011,-0.139489730820060,1
196,196,634950,4331910,-0.013919718563557,-0.134420543909073,2011,-0.148340262472630,1
197,197,634980,4331910,-0.020501360297203,-0.131239295005798,2011,-0.151740655303001,1
198,198,635010,4331910,-0.025063227862120,-0.133337378501892,2011,-0.158400606364012,1
199,199,635040,4331910,-0.031801786273718,-0.132833033800125,2011,-0.164634820073843,1
200,200,635070,4331910,-0.036473713815212,-0.141261100769043,2011,-0.177734814584255,1
201,201,635100,4331910,-0.038409046828747,-0.139176234602928,2011,-0.177585281431675,1
202,202,635130,4331910,-0.033995579928160,-0.121751584112644,2011,-0.155747164040804,1
203,203,635160,4331910,-0.021602209657431,-0.111424595117569,2011,-0.133026804775000,1
204,204,635190,4331910,-0.018422748893499,-0.098828352987766,2011,-0.117251101881265,1
205,205,633930,4331880,-0.036143787205219,-0.110516034066677,2011,-0.146659821271896,1
206,206,633960,4331880,-0.039009455591440,-0.117138318717480,2011,-0.156147774308920,1
207,207,633990,4331880,-0.034167025238276,-0.126072004437447,2011,-0.160239029675723,1
208,208,634020,4331880,-0.031035928055644,-0.134904280304909,2011,-0.165940208360553,1
209,209,634050,4331880,-0.022899199277163,-0.094932600855827,2011,-0.117831800132990,1
210,210,634080,4331880,-0.002189119346440,-0.077242404222488,2011,-0.079431523568928,2
211,211,634110,4331880,-0.009795674122870,-0.098384693264961,2011,-0.108180367387831,2
212,212,634140,4331880,-0.015822149813175,-0.101620793342590,2011,-0.117442943155765,1
213,213,634170,4331880,-0.019306261092424,-0.099408321082592,2011,-0.118714582175016,1
214,214,634200,4331880,-0.023853875696659,-0.086773946881294,2011,-0.110627822577953,2
215,215,634230,4331880,-0.021431092172861,-0.082234941422939,2011,-0.103666033595800,2
216,216,634260,4331880,-0.007388687692583,-0.059690080583096,2011,-0.067078768275679,2
217,217,634290,4331880,0.001686948351562,-0.047940164804459,2011,-0.046253216452897,2
218,218,634320,4331880,0.004639903083444,-0.035731878131628,2011,-0.031091975048184,2
219,219,634350,4331880,0.007374334614724,-0.022882256656885,2011,-0.015507922042161,2
220,220,634380,4331880,0.007727948017418,-0.043060503900051,2011,-0.035332555882633,2
221,221,634410,4331880,0.012370466254652,-0.053787656128407,2011,-0.041417189873755,2
222,222,634440,4331880,0.015128254890442,-0.066992141306400,2011,-0.051863886415958,2
223,223,634470,4331880,0.000353267416358,-0.082953929901123,2011,-0.082600662484765,2
224,224,634500,4331880,0.013783244416118,-0.067220598459244,2011,-0.053437354043126,2
225,225,634530,4331880,0.012199347838759,-0.082977294921875,2011,-0.070777947083116,2
226,226,634560,4331880,0.002494525164366,-0.087731525301933,2011,-0.085237000137567,2
227,227,634590,4331880,-0.004562564194202,-0.113354027271271,2011,-0.117916591465473,1
228,228,634620,4331880,-0.016359901055694,-0.116771392524242,2011,-0.133131293579936,1
229,229,634650,4331880,-0.010576408356428,-0.113825120031834,2011,-0.124401528388262,1
230,230,634680,4331880,-0.010239799506962,-0.108441025018692,2011,-0.118680824525654,1
231,231,634710,4331880,-0.020043943077326,-0.116352386772633,2011,-0.136396329849959,1
232,232,634740,4331880,-0.019767472520471,-0.112145759165287,2011,-0.131913231685758,1
233,233,634770,4331880,-0.012984292581677,-0.100852459669113,2011,-0.113836752250790,2
234,234,634800,4331880,-0.015523221343756,-0.113158516585827,2011,-0.128681737929583,1
235,235,634830,4331880,-0.014945911243558,-0.122231267392635,2011,-0.137177178636193,1
236,236,634860,4331880,-0.015752866864204,-0.120398037135601,2011,-0.136150903999805,1
237,237,634890,4331880,-0.013599274680018,-0.110035330057144,2011,-0.123634604737162,1
238,238,634920,4331880,-0.018324980512261,-0.120132610201836,2011,-0.138457590714097,1
239,239,634950,4331880,-0.017947591841221,-0.130998805165291,2011,-0.148946397006512,1
240,240,634980,4331880,-0.023698246106505,-0.121647365391254,2011,-0.145345611497759,1
241,241,635010,4331880,-0.031637944281101,-0.124833837151527,2011,-0.156471781432628,1
242,242,635040,4331880,-0.033959489315748,-0.127957358956337,2011,-0.161916848272085,1
243,243,635070,4331880,-0.034838911145926,-0.143775731325150,2011,-0.178614642471076,1
244,244,635100,4331880,-0.040664210915565,-0.137245312333107,2011,-0.177909523248672,1
245,245,635130,4331880,-0.041151687502861,-0.132709115743637,2011,-0.173860803246498,1
246,246,635160,4331880,-0.034452654421329,-0.120150193572044,2011,-0.154602847993373,1
247,247,635190,4331880,-0.031850829720497,-0.114969529211521,2011,-0.146820358932018,1
248,248,635220,4331880,-0.021757243201137,-0.114509291946888,2011,-0.136266535148025,1
249,249,635250,4331880,-0.005414773710072,-0.095186591148376,2011,-0.100601364858448,2
250,250,635280,4331880,-0.009283836930990,-0.090209461748600,2011,-0.099493298679590,2
251,251,635310,4331880,-0.019222108647227,-0.100673936307430,2011,-0.119896044954657,1
252,252,635340,4331880,-0.025900918990374,-0.113526418805122,2011,-0.139427337795496,1
253,253,635370,4331880,-0.018418632447720,-0.125226885080338,2011,-0.143645517528058,1
254,254,635400,4331880,-0.024785816669464,-0.107448570430279,2011,-0.132234387099743,1
255,255,635430,4331880,-0.033625449985266,-0.112450711429119,2011,-0.146076161414385,1
256,256,635460,4331880,-0.033148739486933,-0.120159745216370,2011,-0.153308484703303,1
257,257,635490,4331880,-0.025063227862120,-0.133337378501892,2011,-0.158400606364012,1
258,258,635520,4331880,-0.025420073419809,-0.137807726860046,2011,-0.163227800279855,1
259,259,633930,4331850,-0.031951379030943,-0.114939652383327,2011,-0.146891031414270,1
260,260,633960,4331850,-0.038968354463577,-0.116900295019150,2011,-0.155868649482727,1
261,261,633990,4331850,-0.037755511701107,-0.132126674056053,2011,-0.169882185757160,1
262,262,634020,4331850,-0.032261081039906,-0.147312104701996,2011,-0.179573185741902,1
263,263,634050,4331850,-0.029048733413219,-0.122418187558651,2011,-0.151466920971870,1
264,264,634080,4331850,-0.010599497705698,-0.089699856936932,2011,-0.100299354642630,2
265,265,634110,4331850,-0.022888096049428,-0.087051726877689,2011,-0.109939822927117,2
266,266,634140,4331850,-0.020664591342211,-0.092687085270882,2011,-0.113351676613093,2
267,267,634170,4331850,-0.027156081050634,-0.107131332159042,2011,-0.134287413209676,1
268,268,634200,4331850,-0.021696185693145,-0.091649636626244,2011,-0.113345822319389,2
269,269,634230,4331850,-0.026244726032019,-0.100697413086891,2011,-0.126942139118910,1
270,270,634260,4331850,-0.023388871923089,-0.075565807521343,2011,-0.098954679444432,2
271,271,634290,4331850,-0.014833316206932,-0.071091517806053,2011,-0.085924834012985,2
272,272,634320,4331850,-0.001606728881598,-0.050294131040573,2011,-0.051900859922171,2
273,273,634350,4331850,0.005523430183530,-0.035151910036802,2011,-0.029628479853272,2
274,274,634380,4331850,0.013989799655974,-0.035855807363987,2011,-0.021866007708013,2
275,275,634410,4331850,0.008675386197865,-0.042832367122173,2011,-0.034156980924308,2
276,276,634440,4331850,0.000559821724892,-0.051589146256447,2011,-0.051029324531555,2
277,277,634470,4331850,-0.006464054808021,-0.058872088789940,2011,-0.065336143597961,2
278,278,634500,4331850,0.019155863672495,-0.057324931025505,2011,-0.038169067353010,2
279,279,634530,4331850,0.012929458171129,-0.062354482710361,2011,-0.049425024539232,2
280,280,634560,4331850,0.008227789774537,-0.076228626072407,2011,-0.068000836297870,2
281,281,634590,4331850,0.005549047142267,-0.098976969718933,2011,-0.093427922576666,2
282,282,634620,4331850,0.000582294538617,-0.111105710268021,2011,-0.110523415729404,2
283,283,634650,4331850,-0.008814726024866,-0.094239741563797,2011,-0.103054467588663,2
284,284,634680,4331850,-0.009592602029443,-0.089739628136158,2011,-0.099332230165601,2
285,285,634710,4331850,-0.013963373377919,-0.094958767294884,2011,-0.108922140672803,2
286,286,634740,4331850,-0.015990462154150,-0.099089592695236,2011,-0.115080054849386,1
287,287,634770,4331850,-0.008536316454411,-0.091774776577950,2011,-0.100311093032361,2
288,288,634800,4331850,-0.016214704141021,-0.095177330076694,2011,-0.111392034217715,2
289,289,634830,4331850,-0.014467907138169,-0.093103602528572,2011,-0.107571509666741,2
290,290,634860,4331850,-0.015622870996594,-0.091446444392204,2011,-0.107069315388798,2
291,291,634890,4331850,-0.024358432739973,-0.084918811917305,2011,-0.109277244657278,2
292,292,634920,4331850,-0.028034586459398,-0.101267501711845,2011,-0.129302088171243,1
293,293,634950,4331850,-0.021478844806552,-0.112044319510460,2011,-0.133523164317012,1
294,294,634980,4331850,-0.025738280266523,-0.114120483398438,2011,-0.139858763664961,1
295,295,635010,4331850,-0.034991055727005,-0.126919880509377,2011,-0.161910936236382,1
296,296,635040,4331850,-0.036748614162207,-0.132166430354118,2011,-0.168915044516325,1
297,297,635070,4331850,-0.037239573895931,-0.139189869165421,2011,-0.176429443061352,1
298,298,635100,4331850,-0.031725239008665,-0.130419865250587,2011,-0.162145104259252,1
299,299,635130,4331850,-0.037152267992496,-0.133603870868683,2011,-0.170756138861179,1
300,300,635160,4331850,-0.036109935492277,-0.131468474864960,2011,-0.167578410357237,1
301,301,635190,4331850,-0.025463404133916,-0.123215146362782,2011,-0.148678550496698,1
302,302,635220,4331850,-0.035808764398098,-0.128259509801865,2011,-0.164068274199963,1
303,303,635250,4331850,-0.028471102938056,-0.115002624690533,2011,-0.143473727628589,1
304,304,635280,4331850,-0.023515742272139,-0.097665794193745,2011,-0.121181536465884,1
305,305,635310,4331850,-0.013087457045913,-0.090700015425682,2011,-0.103787472471595,2
306,306,635340,4331850,-0.025515573099256,-0.101756811141968,2011,-0.127272384241224,1
307,307,635370,4331850,-0.022860910743475,-0.126415416598320,2011,-0.149276327341795,1
308,308,635400,4331850,-0.033631153404713,-0.120339855551720,2011,-0.153971008956433,1
309,309,635430,4331850,-0.031115017831326,-0.097617655992508,2011,-0.128732673823834,1
310,310,635460,4331850,-0.025753132998943,-0.090894818305969,2011,-0.116647951304912,1
311,311,635490,4331850,-0.030421912670135,-0.103631362318993,2011,-0.134053274989128,1
312,312,635520,4331850,-0.033070258796215,-0.119488216936588,2011,-0.152558475732803,1
313,313,635550,4331850,-0.034337528049946,-0.108710236847401,2011,-0.143047764897347,1
314,314,635580,4331850,-0.037683054804802,-0.114475056529045,2011,-0.152158111333847,1
315,315,635610,4331850,-0.041628379374743,-0.125000044703484,2011,-0.166628424078227,1
316,316,635640,4331850,-0.040755614638329,-0.127592906355858,2011,-0.168348520994187,1
317,317,635670,4331850,-0.041566722095013,-0.140098556876183,2011,-0.181665278971196,1
318,318,635700,4331850,-0.037574246525764,-0.146315604448318,2011,-0.183889850974082,1
319,319,633930,4331820,-0.031617339700460,-0.110593110322952,2011,-0.142210450023412,1
320,320,633960,4331820,-0.038960739970207,-0.120579063892365,2011,-0.159539803862572,1
321,321,633990,4331820,-0.039190381765366,-0.127818584442139,2011,-0.167008966207505,1
322,322,634020,4331820,-0.036822952330112,-0.149410188198090,2011,-0.186233140528202,1
323,323,634050,4331820,-0.026444053277373,-0.140449047088623,2011,-0.166893100365996,1
324,324,634080,4331820,-0.012293128296733,-0.095298238098621,2011,-0.107591366395354,2
325,325,634110,4331820,-0.027014689520001,-0.083387769758701,2011,-0.110402459278702,2
