OBJECTID,iso1986_ndvi_tif,X,Y,iso1986_ndvi
213,1,634170,4331880,1
214,1,634200,4331880,1
215,1,634230,4331880,1
216,2,634260,4331880,2
217,2,634290,4331880,2
218,2,634320,4331880,2
219,2,634350,4331880,2
220,2,634380,4331880,2
221,2,634410,4331880,2
222,2,634440,4331880,2
223,2,634470,4331880,2
224,2,634500,4331880,2
225,2,634530,4331880,2
226,2,634560,4331880,2
227,2,634590,4331880,2
228,1,634620,4331880,1
229,1,634650,4331880,1
230,1,634680,4331880,1
231,1,634710,4331880,1
232,1,634740,4331880,1
233,1,634770,4331880,1
234,1,634800,4331880,1
235,1,634830,4331880,1
236,1,634860,4331880,1
237,1,634890,4331880,1
238,1,634920,4331880,1
239,1,634950,4331880,1
240,1,634980,4331880,1
241,1,635010,4331880,1
242,1,635040,4331880,1
243,1,635070,4331880,1
244,1,635100,4331880,1
245,1,635130,4331880,1
246,1,635160,4331880,1
247,1,635190,4331880,1
248,1,635220,4331880,1
249,2,635250,4331880,2
250,2,635280,4331880,2
251,1,635310,4331880,1
252,1,635340,4331880,1
253,1,635370,4331880,1
254,1,635400,4331880,1
255,1,635430,4331880,1
256,1,635460,4331880,1
257,1,635490,4331880,1
258,1,635520,4331880,1
259,1,633930,4331850,1
260,1,633960,4331850,1
261,1,633990,4331850,1
262,1,634020,4331850,1
263,1,634050,4331850,1
264,2,634080,4331850,2
265,1,634110,4331850,1
266,1,634140,4331850,1
267,1,634170,4331850,1
268,1,634200,4331850,1
269,1,634230,4331850,1
270,2,634260,4331850,2
271,2,634290,4331850,2
272,2,634320,4331850,2
273,2,634350,4331850,2
274,2,634380,4331850,2
275,2,634410,4331850,2
276,2,634440,4331850,2
277,2,634470,4331850,2
278,2,634500,4331850,2
279,2,634530,4331850,2
280,2,634560,4331850,2
281,2,634590,4331850,2
282,2,634620,4331850,2
283,2,634650,4331850,2
284,2,634680,4331850,2
285,1,634710,4331850,1
286,1,634740,4331850,1
287,2,634770,4331850,2
288,1,634800,4331850,1
289,1,634830,4331850,1
290,1,634860,4331850,1
291,1,634890,4331850,1
292,2,634920,4331850,2
293,1,634950,4331850,1
294,1,634980,4331850,1
295,1,635010,4331850,1
296,1,635040,4331850,1
297,1,635070,4331850,1
298,1,635100,4331850,1
299,1,635130,4331850,1
300,1,635160,4331850,1
301,1,635190,4331850,1
302,1,635220,4331850,1
303,1,635250,4331850,1
304,1,635280,4331850,1
305,1,635310,4331850,1
306,1,635340,4331850,1
307,1,635370,4331850,1
308,1,635400,4331850,1
309,1,635430,4331850,1
310,1,635460,4331850,1
311,1,635490,4331850,1
312,1,635520,4331850,1
313,1,635550,4331850,1
314,1,635580,4331850,1
315,1,635610,4331850,1
316,1,635640,4331850,1
317,1,635670,4331850,1
318,1,635700,4331850,1
319,1,633930,4331820,1
320,1,633960,4331820,1
321,1,633990,4331820,1
322,1,634020,4331820,1
323,1,634050,4331820,1
324,2,634080,4331820,2
325,1,634110,4331820,1
326,1,634140,4331820,1
327,1,634170,4331820,1
328,1,634200,4331820,1
329,1,634230,4331820,1
330,1,634260,4331820,1
331,2,634290,4331820,2
332,1,634320,4331820,1
333,2,634350,4331820,2
334,2,634380,4331820,2
335,2,634410,4331820,2
336,2,634440,4331820,2
337,2,634470,4331820,2
338,2,634500,4331820,2
339,2,634530,4331820,2
340,2,634560,4331820,2
341,2,634590,4331820,2
342,2,634620,4331820,2
343,2,634650,4331820,2
344,2,634680,4331820,2
345,1,634710,4331820,1
346,1,634740,4331820,1
347,1,634770,4331820,1
348,1,634800,4331820,1
349,1,634830,4331820,1
350,1,634860,4331820,1
351,1,634890,4331820,1
352,1,634920,4331820,1
353,1,634950,4331820,1
354,1,634980,4331820,1
355,1,635010,4331820,1
356,1,635040,4331820,1
357,1,635070,4331820,1
358,1,635100,4331820,1
359,1,635130,4331820,1
360,1,635160,4331820,1
361,1,635190,4331820,1
362,1,635220,4331820,1
363,1,635250,4331820,1
364,1,635280,4331820,1
365,1,635310,4331820,1
366,1,635340,4331820,1
367,1,635370,4331820,1
368,1,635400,4331820,1
369,1,635430,4331820,1
370,1,635460,4331820,1
371,1,635490,4331820,1
372,1,635520,4331820,1
373,1,635550,4331820,1
374,1,635580,4331820,1
375,1,635610,4331820,1
376,1,635640,4331820,1
377,1,635670,4331820,1
378,1,635700,4331820,1
379,1,635730,4331820,1
380,1,635760,4331820,1
381,1,635790,4331820,1
382,1,635820,4331820,1
383,1,635850,4331820,1
384,1,635880,4331820,1
385,1,635910,4331820,1
386,1,635940,4331820,1
387,1,633930,4331790,1
388,1,633960,4331790,1
389,1,633990,4331790,1
390,2,634020,4331790,2
391,1,634050,4331790,1
392,2,634080,4331790,2
393,1,634110,4331790,1
394,1,634140,4331790,1
395,1,634170,4331790,1
396,1,634200,4331790,1
397,1,634230,4331790,1
398,1,634260,4331790,1
399,2,634290,4331790,2
400,1,634320,4331790,1
401,2,634350,4331790,2
