OBJECTID,Rowid_,GREEN_1986,X,Y,GREEN_1986_1987,RASTERVALU
1,,0,633930.000000000000000,4332120.000000000000000,-0.017700184136629,1
2,,0,633960.000000000000000,4332120.000000000000000,-0.018177274614573,1
3,,0,633990.000000000000000,4332120.000000000000000,-0.018981587141752,1
4,,0,634020.000000000000000,4332120.000000000000000,-0.012542139738798,1
5,,0,634050.000000000000000,4332120.000000000000000,-0.017155149951577,1
6,,0,634080.000000000000000,4332120.000000000000000,-0.020448679104447,1
7,,0,633930.000000000000000,4332090.000000000000000,-0.004122458398342,1
8,,0,633960.000000000000000,4332090.000000000000000,-0.005995355546474,1
9,,0,633990.000000000000000,4332090.000000000000000,-0.002856869250536,1
10,,0,634020.000000000000000,4332090.000000000000000,-0.008701270446181,1
11,,0,634050.000000000000000,4332090.000000000000000,-0.015138707123697,1
12,,0,634080.000000000000000,4332090.000000000000000,-0.016366336494684,1
13,,0,633930.000000000000000,4332060.000000000000000,-0.010545428842306,1
14,,0,633960.000000000000000,4332060.000000000000000,-0.007021948695183,1
15,,0,633990.000000000000000,4332060.000000000000000,-0.012468587607145,1
16,,0,634020.000000000000000,4332060.000000000000000,-0.011153157800436,1
17,,0,634050.000000000000000,4332060.000000000000000,-0.009330747649074,1
18,,0,634080.000000000000000,4332060.000000000000000,-0.020260892808437,1
19,,0,634410.000000000000000,4332060.000000000000000,-0.001305080950260,1
20,,0,634440.000000000000000,4332060.000000000000000,-0.006730001419783,1
21,,0,634470.000000000000000,4332060.000000000000000,-0.014984587207437,1
22,,0,634500.000000000000000,4332060.000000000000000,-0.011901982128620,1
23,,0,634530.000000000000000,4332060.000000000000000,-0.013043818995357,1
24,,0,634560.000000000000000,4332060.000000000000000,-0.006842751055956,1
25,,0,634590.000000000000000,4332060.000000000000000,-0.007735604420304,1
26,,0,634620.000000000000000,4332060.000000000000000,-0.014737272635102,1
27,,0,634650.000000000000000,4332060.000000000000000,-0.024848924949765,1
28,,0,634680.000000000000000,4332060.000000000000000,-0.029191300272942,1
29,,0,634710.000000000000000,4332060.000000000000000,-0.024924032390118,1
30,,0,634740.000000000000000,4332060.000000000000000,-0.014746224507689,1
31,,0,634770.000000000000000,4332060.000000000000000,-0.013871703296900,1
32,,0,633930.000000000000000,4332030.000000000000000,-0.011642341502011,1
33,,0,633960.000000000000000,4332030.000000000000000,-0.008185489103198,1
34,,0,633990.000000000000000,4332030.000000000000000,-0.003325074911118,1
35,,0,634020.000000000000000,4332030.000000000000000,-0.003609871491790,1
36,,0,634050.000000000000000,4332030.000000000000000,0.002704041078687,2
37,,0,634080.000000000000000,4332030.000000000000000,-0.010402205400169,1
38,,0,634110.000000000000000,4332030.000000000000000,-0.010266041383147,1
39,,0,634140.000000000000000,4332030.000000000000000,-0.004923811182380,1
40,,0,634170.000000000000000,4332030.000000000000000,0.006868632510304,2
41,,0,634200.000000000000000,4332030.000000000000000,0.001726850867271,2
42,,0,634230.000000000000000,4332030.000000000000000,0.000456571578979,1
43,,0,634260.000000000000000,4332030.000000000000000,0.002033470198512,2
44,,0,634380.000000000000000,4332030.000000000000000,0.004494542255998,2
45,,0,634410.000000000000000,4332030.000000000000000,-0.007355637848377,1
46,,0,634440.000000000000000,4332030.000000000000000,-0.015798017382622,1
47,,0,634470.000000000000000,4332030.000000000000000,-0.015362892299891,1
48,,0,634500.000000000000000,4332030.000000000000000,-0.016052365303040,1
49,,0,634530.000000000000000,4332030.000000000000000,-0.010706877335906,1
50,,0,634560.000000000000000,4332030.000000000000000,-0.018146548420191,1
51,,0,634590.000000000000000,4332030.000000000000000,-0.015182220377028,1
52,,0,634620.000000000000000,4332030.000000000000000,-0.014310719445348,1
53,,0,634650.000000000000000,4332030.000000000000000,-0.020311150699854,1
54,,0,634680.000000000000000,4332030.000000000000000,-0.017968572676182,1
55,,0,634710.000000000000000,4332030.000000000000000,-0.021200042217970,1
